> initializing torch distributed ...
Loading trained LM features (title and abstract) ...
LM_emb_path: ./lm_workloads/prt_lm/ogbn-products/microsoft/deberta-base-seed0.emb
ogbn-products load successfully
Train nodes: 14708, Val nodes: 1572, Test nodes: 37745
Num of train batches: 1, num of train microbatches: 1, microbatch size: 54025
stage=0 layers=0 - 28
Training...
stage=3 layers=84 - 112
stage=1 layers=28 - 56
stage=2 layers=56 - 84
Epoch 00072 | Loss 0.3523 | Avg Epoch Time 2.7156s
Epoch 00073 | Loss 0.3466 | Avg Epoch Time 2.7157s
Epoch 00074 | Loss 0.3442 | Avg Epoch Time 2.7157s
Epoch 00075 | Loss 0.3406 | Avg Epoch Time 2.7157s
Epoch 00075 | Valid acc: 88.55% | Test acc: 74.85%
Epoch 00076 | Loss 0.3430 | Avg Epoch Time 2.7157s
Epoch 00077 | Loss 0.3332 | Avg Epoch Time 2.7157s
Epoch 00078 | Loss 0.3302 | Avg Epoch Time 2.7157s
Epoch 00079 | Loss 0.3364 | Avg Epoch Time 2.7157s
Epoch 00080 | Loss 0.3267 | Avg Epoch Time 2.7157s
Epoch 00080 | Valid acc: 88.42% | Test acc: 76.94%
Epoch 00081 | Loss 0.3253 | Avg Epoch Time 2.7163s
Epoch 00082 | Loss 0.3254 | Avg Epoch Time 2.7164s
Epoch 00083 | Loss 0.3241 | Avg Epoch Time 2.7166s
Epoch 00084 | Loss 0.3233 | Avg Epoch Time 2.7167s
Epoch 00085 | Loss 0.3237 | Avg Epoch Time 2.7167s
Epoch 00085 | Valid acc: 89.44% | Test acc: 77.59%
Epoch 00086 | Loss 0.3171 | Avg Epoch Time 2.7167s
Epoch 00087 | Loss 0.3159 | Avg Epoch Time 2.7167s
Epoch 00088 | Loss 0.3141 | Avg Epoch Time 2.7179s
Epoch 00089 | Loss 0.3084 | Avg Epoch Time 2.7180s
Epoch 00090 | Loss 0.3290 | Avg Epoch Time 2.7185s
Epoch 00090 | Valid acc: 88.30% | Test acc: 75.45%
Epoch 00091 | Loss 0.3536 | Avg Epoch Time 2.7186s
Epoch 00092 | Loss 0.3330 | Avg Epoch Time 2.7186s
Epoch 00093 | Loss 0.3209 | Avg Epoch Time 2.7186s
Epoch 00094 | Loss 0.3184 | Avg Epoch Time 2.7186s
Epoch 00095 | Loss 0.3154 | Avg Epoch Time 2.7186s
Epoch 00095 | Valid acc: 88.80% | Test acc: 75.94%
Epoch 00096 | Loss 0.3052 | Avg Epoch Time 2.7186s
Epoch 00097 | Loss 0.3105 | Avg Epoch Time 2.7187s
Epoch 00098 | Loss 0.3065 | Avg Epoch Time 2.7187s
Epoch 00099 | Loss 0.2938 | Avg Epoch Time 2.7192s
Epoch 00100 | Loss 0.3013 | Avg Epoch Time 2.7194s
Epoch 00100 | Valid acc: 89.06% | Test acc: 76.72%
Epoch 00101 | Loss 0.2931 | Avg Epoch Time 2.7195s
Epoch 00102 | Loss 0.2870 | Avg Epoch Time 2.7195s
Epoch 00103 | Loss 0.2895 | Avg Epoch Time 2.7195s
Epoch 00104 | Loss 0.2863 | Avg Epoch Time 2.7195s
Epoch 00105 | Loss 0.2782 | Avg Epoch Time 2.7195s
Epoch 00105 | Valid acc: 88.74% | Test acc: 77.46%
Epoch 00106 | Loss 0.2806 | Avg Epoch Time 2.7196s
Epoch 00107 | Loss 0.2789 | Avg Epoch Time 2.7196s
Epoch 00108 | Loss 0.2760 | Avg Epoch Time 2.7201s
Epoch 00109 | Loss 0.2811 | Avg Epoch Time 2.7201s
Epoch 00110 | Loss 0.2950 | Avg Epoch Time 2.7202s
Epoch 00110 | Valid acc: 89.69% | Test acc: 75.76%
Epoch 00111 | Loss 0.3035 | Avg Epoch Time 2.7202s
Epoch 00112 | Loss 0.3124 | Avg Epoch Time 2.7206s
Epoch 00113 | Loss 0.2926 | Avg Epoch Time 2.7206s
Epoch 00114 | Loss 0.2922 | Avg Epoch Time 2.7207s
Epoch 00115 | Loss 0.2853 | Avg Epoch Time 2.7207s
Epoch 00115 | Valid acc: 88.61% | Test acc: 76.96%
Epoch 00116 | Loss 0.2792 | Avg Epoch Time 2.7208s
Epoch 00117 | Loss 0.2842 | Avg Epoch Time 2.7209s
Epoch 00118 | Loss 0.2758 | Avg Epoch Time 2.7209s
Epoch 00119 | Loss 0.2745 | Avg Epoch Time 2.7210s
Epoch 00120 | Loss 0.2703 | Avg Epoch Time 2.7210s
Epoch 00120 | Valid acc: 88.93% | Test acc: 77.57%
Epoch 00121 | Loss 0.2662 | Avg Epoch Time 2.7210s
Epoch 00122 | Loss 0.2603 | Avg Epoch Time 2.7211s
Epoch 00123 | Loss 0.2576 | Avg Epoch Time 2.7211s
Epoch 00124 | Loss 0.2546 | Avg Epoch Time 2.7211s
Epoch 00125 | Loss 0.2554 | Avg Epoch Time 2.7211s
Epoch 00125 | Valid acc: 89.06% | Test acc: 76.89%
Epoch 00126 | Loss 0.2564 | Avg Epoch Time 2.7211s
Epoch 00127 | Loss 0.2684 | Avg Epoch Time 2.7211s
Epoch 00128 | Loss 0.2805 | Avg Epoch Time 2.7212s
Epoch 00129 | Loss 0.2916 | Avg Epoch Time 2.7212s
Epoch 00130 | Loss 0.2952 | Avg Epoch Time 2.7213s
Epoch 00130 | Valid acc: 89.57% | Test acc: 75.31%
Epoch 00131 | Loss 0.2698 | Avg Epoch Time 2.7213s
Epoch 00132 | Loss 0.2726 | Avg Epoch Time 2.7213s
Epoch 00133 | Loss 0.2764 | Avg Epoch Time 2.7213s
Epoch 00134 | Loss 0.2750 | Avg Epoch Time 2.7213s
Epoch 00135 | Loss 0.2729 | Avg Epoch Time 2.7213s
Epoch 00135 | Valid acc: 89.76% | Test acc: 76.46%
Epoch 00136 | Loss 0.2852 | Avg Epoch Time 2.7214s
Epoch 00137 | Loss 0.2657 | Avg Epoch Time 2.7215s
Epoch 00138 | Loss 0.2652 | Avg Epoch Time 2.7215s
Epoch 00139 | Loss 0.2606 | Avg Epoch Time 2.7216s
Epoch 00140 | Loss 0.2595 | Avg Epoch Time 2.7216s
Epoch 00140 | Valid acc: 88.61% | Test acc: 77.43%
Epoch 00141 | Loss 0.2466 | Avg Epoch Time 2.7216s
Epoch 00142 | Loss 0.2501 | Avg Epoch Time 2.7216s
Epoch 00143 | Loss 0.2480 | Avg Epoch Time 2.7216s
Epoch 00144 | Loss 0.2469 | Avg Epoch Time 2.7216s
Epoch 00145 | Loss 0.2353 | Avg Epoch Time 2.7219s
Epoch 00145 | Valid acc: 89.06% | Test acc: 79.34%
Epoch 00146 | Loss 0.2432 | Avg Epoch Time 2.7219s
Epoch 00147 | Loss 0.2345 | Avg Epoch Time 2.7220s
Epoch 00148 | Loss 0.2340 | Avg Epoch Time 2.7220s
Epoch 00149 | Loss 0.2271 | Avg Epoch Time 2.7220s
Epoch 00150 | Loss 0.2309 | Avg Epoch Time 2.7220s
Epoch 00150 | Valid acc: 89.69% | Test acc: 78.32%
Epoch 00151 | Loss 0.2207 | Avg Epoch Time 2.7220s
Epoch 00152 | Loss 0.2252 | Avg Epoch Time 2.7221s
Epoch 00153 | Loss 0.2214 | Avg Epoch Time 2.7223s
Epoch 00154 | Loss 0.2136 | Avg Epoch Time 2.7226s
Epoch 00155 | Loss 0.2208 | Avg Epoch Time 2.7225s
Epoch 00155 | Valid acc: 89.63% | Test acc: 76.90%
Epoch 00156 | Loss 0.2135 | Avg Epoch Time 2.7225s
