torchrun --nnodes 1 --nproc_per_node 4 resgnn_pp_trainonall_sync_lm_reorder.py --num_layers 56 --hidden_channels 128 --dropout 0.5 --lr 0.01

> initializing torch distributed ...
Loading trained LM features (title and abstract) ...
LM_emb_path: ./lm_workloads/prt_lm/ogbn-arxiv/microsoft/deberta-base-seed0.emb
ogbn-arxiv load successfully
Train nodes: 90941, Val nodes: 29799, Test nodes: 48603
Num of train batches: 1, num of train microbatches: 2, microbatch size: 84670
stage=2 layers = 28-42

Number of parameters: 3839272
stage=0 layers = 0-14
stage=1 layers = 14-28
stage=3 layers = 42-56
Training...
Epoch 00070 | Loss 1.7839 | Avg Epoch Time 0.7512s
Epoch 00070 | Valid acc: 54.26% | Test acc: 54.32%
Epoch 00071 | Loss 1.7662 | Avg Epoch Time 0.7510s
Epoch 00072 | Loss 1.7169 | Avg Epoch Time 0.7511s
Epoch 00073 | Loss 1.7330 | Avg Epoch Time 0.7513s
Epoch 00074 | Loss 1.6926 | Avg Epoch Time 0.7514s
Epoch 00075 | Loss 1.6954 | Avg Epoch Time 0.7515s
Epoch 00075 | Valid acc: 56.04% | Test acc: 55.38%
Epoch 00076 | Loss 1.6854 | Avg Epoch Time 0.7514s
Epoch 00077 | Loss 1.6856 | Avg Epoch Time 0.7515s
Epoch 00078 | Loss 1.6704 | Avg Epoch Time 0.7517s
Epoch 00079 | Loss 1.6643 | Avg Epoch Time 0.7518s
Epoch 00080 | Loss 1.6237 | Avg Epoch Time 0.7519s
Epoch 00080 | Valid acc: 58.14% | Test acc: 58.08%
Epoch 00081 | Loss 1.6120 | Avg Epoch Time 0.7518s
Epoch 00082 | Loss 1.5960 | Avg Epoch Time 0.7519s
Epoch 00083 | Loss 1.5797 | Avg Epoch Time 0.7520s
Epoch 00084 | Loss 1.5817 | Avg Epoch Time 0.7521s
Epoch 00085 | Loss 1.5549 | Avg Epoch Time 0.7521s
Epoch 00085 | Valid acc: 60.13% | Test acc: 59.51%
Epoch 00086 | Loss 1.5302 | Avg Epoch Time 0.7520s
Epoch 00087 | Loss 1.5200 | Avg Epoch Time 0.7520s
Epoch 00088 | Loss 1.5049 | Avg Epoch Time 0.7521s
Epoch 00089 | Loss 1.4799 | Avg Epoch Time 0.7522s
Epoch 00090 | Loss 1.4902 | Avg Epoch Time 0.7523s
Epoch 00090 | Valid acc: 62.41% | Test acc: 62.31%
Epoch 00091 | Loss 1.5163 | Avg Epoch Time 0.7521s
Epoch 00092 | Loss 1.5253 | Avg Epoch Time 0.7522s
Epoch 00093 | Loss 1.4422 | Avg Epoch Time 0.7523s
Epoch 00094 | Loss 1.4673 | Avg Epoch Time 0.7524s
Epoch 00095 | Loss 1.4602 | Avg Epoch Time 0.7525s
Epoch 00095 | Valid acc: 61.86% | Test acc: 60.09%
Epoch 00096 | Loss 1.4501 | Avg Epoch Time 0.7523s
