torchrun --nnodes 1 --nproc_per_node 4 resgnn_pp_trainonall.py --num_layers 56 --hidden_channels 128 --dropout 0.5 --lr 0.01

> initializing torch distributed ...
ogbn-arxiv load successfully
Train nodes: 90941, Val nodes: 29799, Test nodes: 48600
Num of train batches: 1, num of train microbatches: 2, microbatch size: 84670
The number of layers 56 Aggregation method max block: res+
False
LN/BN->ReLU->GraphConv->Res
The number of layers 56 Aggregation method max block: res+
False
LN/BN->ReLU->GraphConv->Res
The number of layers 56 Aggregation method max block: res+
False
LN/BN->ReLU->GraphConv->Res
stage=2 layers = 28-42
The number of layers 56 Aggregation method max block: res+
False
LN/BN->ReLU->GraphConv->Res
stage=0 layers = 0-14
stage=3 layers = 42-56
stage=1 layers = 14-28
Training...
Epoch 00068 | Loss 2.7239 | Avg Epoch Time 0.8183s
Epoch 00069 | Loss 2.6822 | Avg Epoch Time 0.8183s
Epoch 00070 | Loss 2.7004 | Avg Epoch Time 0.8183s
Epoch 00070 | Valid acc: 29.41% | Test acc: 27.04%
Epoch 00071 | Loss 2.6571 | Avg Epoch Time 0.8180s
Epoch 00072 | Loss 2.6757 | Avg Epoch Time 0.8181s
Epoch 00073 | Loss 2.6325 | Avg Epoch Time 0.8181s
Epoch 00074 | Loss 2.6427 | Avg Epoch Time 0.8181s
Epoch 00075 | Loss 2.6143 | Avg Epoch Time 0.8182s
Epoch 00075 | Valid acc: 29.74% | Test acc: 28.14%
Epoch 00076 | Loss 2.6060 | Avg Epoch Time 0.8178s
Epoch 00077 | Loss 2.5935 | Avg Epoch Time 0.8179s
Epoch 00078 | Loss 2.5689 | Avg Epoch Time 0.8179s
Epoch 00079 | Loss 2.5729 | Avg Epoch Time 0.8179s
Epoch 00080 | Loss 2.5447 | Avg Epoch Time 0.8180s
Epoch 00080 | Valid acc: 31.04% | Test acc: 29.80%
Epoch 00081 | Loss 2.5402 | Avg Epoch Time 0.8177s
Epoch 00082 | Loss 2.5333 | Avg Epoch Time 0.8177s
Epoch 00083 | Loss 2.5058 | Avg Epoch Time 0.8178s
Epoch 00084 | Loss 2.5128 | Avg Epoch Time 0.8178s
Epoch 00085 | Loss 2.5126 | Avg Epoch Time 0.8179s
Epoch 00085 | Valid acc: 31.96% | Test acc: 31.84%
Epoch 00086 | Loss 2.4711 | Avg Epoch Time 0.8176s
Epoch 00087 | Loss 2.4936 | Avg Epoch Time 0.8176s
Epoch 00088 | Loss 2.5095 | Avg Epoch Time 0.8177s
Epoch 00089 | Loss 2.4517 | Avg Epoch Time 0.8177s
Epoch 00090 | Loss 2.5195 | Avg Epoch Time 0.8178s
Epoch 00090 | Valid acc: 33.63% | Test acc: 32.84%
Epoch 00091 | Loss 2.4621 | Avg Epoch Time 0.8176s
Epoch 00092 | Loss 2.4766 | Avg Epoch Time 0.8176s
Epoch 00093 | Loss 2.4350 | Avg Epoch Time 0.8177s
Epoch 00094 | Loss 2.4593 | Avg Epoch Time 0.8178s
Epoch 00095 | Loss 2.4232 | Avg Epoch Time 0.8178s
Epoch 00095 | Valid acc: 34.71% | Test acc: 33.51%
Epoch 00096 | Loss 2.4467 | Avg Epoch Time 0.8176s
Epoch 00097 | Loss 2.4038 | Avg Epoch Time 0.8177s
Epoch 00098 | Loss 2.4347 | Avg Epoch Time 0.8177s
Epoch 00099 | Loss 2.3909 | Avg Epoch Time 0.8178s
Epoch 00100 | Loss 2.4162 | Avg Epoch Time 0.8179s
Epoch 00100 | Valid acc: 36.46% | Test acc: 36.10%
Epoch 00101 | Loss 2.3851 | Avg Epoch Time 0.8177s
Epoch 00102 | Loss 2.4014 | Avg Epoch Time 0.8178s
Epoch 00103 | Loss 2.3780 | Avg Epoch Time 0.8178s
Epoch 00104 | Loss 2.3865 | Avg Epoch Time 0.8179s
Epoch 00105 | Loss 2.3712 | Avg Epoch Time 0.8179s
Epoch 00105 | Valid acc: 36.87% | Test acc: 36.30%
Epoch 00106 | Loss 2.3764 | Avg Epoch Time 0.8177s
Epoch 00107 | Loss 2.3647 | Avg Epoch Time 0.8178s
Epoch 00108 | Loss 2.3630 | Avg Epoch Time 0.8178s
Epoch 00109 | Loss 2.3595 | Avg Epoch Time 0.8181s
Epoch 00110 | Loss 2.3526 | Avg Epoch Time 0.8181s
Epoch 00110 | Valid acc: 38.03% | Test acc: 37.88%
Epoch 00111 | Loss 2.3535 | Avg Epoch Time 0.8179s
Epoch 00112 | Loss 2.3571 | Avg Epoch Time 0.8180s
Epoch 00113 | Loss 2.3744 | Avg Epoch Time 0.8181s
Epoch 00114 | Loss 2.3765 | Avg Epoch Time 0.8181s
Epoch 00115 | Loss 2.3677 | Avg Epoch Time 0.8182s
Epoch 00115 | Valid acc: 38.33% | Test acc: 38.91%
Epoch 00116 | Loss 2.3353 | Avg Epoch Time 0.8181s
Epoch 00117 | Loss 2.3437 | Avg Epoch Time 0.8182s
Epoch 00118 | Loss 2.3526 | Avg Epoch Time 0.8183s
Epoch 00119 | Loss 2.3220 | Avg Epoch Time 0.8184s
Epoch 00120 | Loss 2.3321 | Avg Epoch Time 0.8185s
Epoch 00120 | Valid acc: 39.32% | Test acc: 40.44%
Epoch 00121 | Loss 2.3286 | Avg Epoch Time 0.8184s
Epoch 00122 | Loss 2.3099 | Avg Epoch Time 0.8184s
Epoch 00123 | Loss 2.3287 | Avg Epoch Time 0.8185s
Epoch 00124 | Loss 2.3108 | Avg Epoch Time 0.8185s
Epoch 00125 | Loss 2.3060 | Avg Epoch Time 0.8185s
Epoch 00125 | Valid acc: 40.15% | Test acc: 40.97%
Epoch 00126 | Loss 2.3042 | Avg Epoch Time 0.8184s
Epoch 00127 | Loss 2.2890 | Avg Epoch Time 0.8184s
Epoch 00128 | Loss 2.2873 | Avg Epoch Time 0.8185s
Epoch 00129 | Loss 2.2806 | Avg Epoch Time 0.8185s
Epoch 00130 | Loss 2.2742 | Avg Epoch Time 0.8185s
Epoch 00130 | Valid acc: 41.20% | Test acc: 42.22%
Epoch 00131 | Loss 2.2728 | Avg Epoch Time 0.8184s
Epoch 00132 | Loss 2.2569 | Avg Epoch Time 0.8184s
Epoch 00133 | Loss 2.2562 | Avg Epoch Time 0.8184s
Epoch 00134 | Loss 2.2482 | Avg Epoch Time 0.8185s
Epoch 00135 | Loss 2.2508 | Avg Epoch Time 0.8185s
Epoch 00135 | Valid acc: 39.26% | Test acc: 41.27%
Epoch 00136 | Loss 2.3173 | Avg Epoch Time 0.8184s
Epoch 00137 | Loss 2.2410 | Avg Epoch Time 0.8184s
Epoch 00138 | Loss 2.3260 | Avg Epoch Time 0.8185s
Epoch 00139 | Loss 2.2808 | Avg Epoch Time 0.8185s
Epoch 00140 | Loss 2.3235 | Avg Epoch Time 0.8185s
Epoch 00140 | Valid acc: 41.02% | Test acc: 42.19%
Epoch 00141 | Loss 2.2804 | Avg Epoch Time 0.8184s
Epoch 00142 | Loss 2.2692 | Avg Epoch Time 0.8184s
Epoch 00143 | Loss 2.2871 | Avg Epoch Time 0.8185s
Epoch 00144 | Loss 2.2500 | Avg Epoch Time 0.8185s
Epoch 00145 | Loss 2.2478 | Avg Epoch Time 0.8185s
Epoch 00145 | Valid acc: 41.45% | Test acc: 43.38%
Epoch 00146 | Loss 2.2571 | Avg Epoch Time 0.8184s
Epoch 00147 | Loss 2.2210 | Avg Epoch Time 0.8185s
Epoch 00148 | Loss 2.2378 | Avg Epoch Time 0.8185s
Epoch 00149 | Loss 2.2226 | Avg Epoch Time 0.8186s
Epoch 00150 | Loss 2.2124 | Avg Epoch Time 0.8186s
Epoch 00150 | Valid acc: 42.76% | Test acc: 43.81%
Epoch 00151 | Loss 2.2174 | Avg Epoch Time 0.8185s
Epoch 00152 | Loss 2.2003 | Avg Epoch Time 0.8185s
Epoch 00153 | Loss 2.2088 | Avg Epoch Time 0.8186s
Epoch 00154 | Loss 2.1920 | Avg Epoch Time 0.8186s
Epoch 00155 | Loss 2.1896 | Avg Epoch Time 0.8187s
Epoch 00155 | Valid acc: 43.22% | Test acc: 43.79%
Epoch 00156 | Loss 2.1869 | Avg Epoch Time 0.8186s
Epoch 00157 | Loss 2.1808 | Avg Epoch Time 0.8188s
Epoch 00158 | Loss 2.1841 | Avg Epoch Time 0.8188s
Epoch 00159 | Loss 2.1738 | Avg Epoch Time 0.8188s
Epoch 00160 | Loss 2.1756 | Avg Epoch Time 0.8189s
Epoch 00160 | Valid acc: 43.87% | Test acc: 44.39%
Epoch 00161 | Loss 2.1671 | Avg Epoch Time 0.8187s
Epoch 00162 | Loss 2.1669 | Avg Epoch Time 0.8188s
Epoch 00163 | Loss 2.1627 | Avg Epoch Time 0.8188s
Epoch 00164 | Loss 2.1586 | Avg Epoch Time 0.8189s
Epoch 00165 | Loss 2.1537 | Avg Epoch Time 0.8189s
Epoch 00165 | Valid acc: 44.13% | Test acc: 44.32%
Epoch 00166 | Loss 2.1544 | Avg Epoch Time 0.8188s
Epoch 00167 | Loss 2.1467 | Avg Epoch Time 0.8188s
Epoch 00168 | Loss 2.1477 | Avg Epoch Time 0.8189s
Epoch 00169 | Loss 2.1399 | Avg Epoch Time 0.8189s
Epoch 00170 | Loss 2.1432 | Avg Epoch Time 0.8189s
Epoch 00170 | Valid acc: 44.42% | Test acc: 44.69%
Epoch 00171 | Loss 2.1374 | Avg Epoch Time 0.8188s
Epoch 00172 | Loss 2.1334 | Avg Epoch Time 0.8189s
Epoch 00173 | Loss 2.1306 | Avg Epoch Time 0.8190s
Epoch 00174 | Loss 2.1275 | Avg Epoch Time 0.8191s
