> initializing torch distributed ...
Loading trained LM features (title and abstract) ...
LM_emb_path: ./lm_workloads/prt_lm/ogbn-products/microsoft/deberta-base-seed0.emb
ogbn-products load successfully
Train nodes: 14708, Val nodes: 1572, Test nodes: 37745
Num of train batches: 1, num of train microbatches: 1, microbatch size: 54025
stage=2 layers = 28-42

Number of parameters: 3840175
stage=0 layers = 0-14
stage=3 layers = 42-56
stage=1 layers = 14-28
Training...
Epoch 00072 | Loss 0.9243 | Avg Epoch Time 0.3730s
Epoch 00073 | Loss 0.9081 | Avg Epoch Time 0.3730s
Epoch 00074 | Loss 0.8947 | Avg Epoch Time 0.3731s
Epoch 00075 | Loss 0.8803 | Avg Epoch Time 0.3731s
Epoch 00075 | Valid acc: 73.16% | Test acc: 54.83%
Epoch 00076 | Loss 0.8683 | Avg Epoch Time 0.3731s
Epoch 00077 | Loss 0.8482 | Avg Epoch Time 0.3731s
Epoch 00078 | Loss 0.8390 | Avg Epoch Time 0.3731s
Epoch 00079 | Loss 0.8283 | Avg Epoch Time 0.3731s
Epoch 00080 | Loss 0.8181 | Avg Epoch Time 0.3732s
Epoch 00080 | Valid acc: 75.89% | Test acc: 57.99%
Epoch 00081 | Loss 0.8097 | Avg Epoch Time 0.3732s
Epoch 00082 | Loss 0.7979 | Avg Epoch Time 0.3733s
Epoch 00083 | Loss 0.7910 | Avg Epoch Time 0.3733s
Epoch 00084 | Loss 0.7825 | Avg Epoch Time 0.3733s
Epoch 00085 | Loss 0.7698 | Avg Epoch Time 0.3733s
Epoch 00085 | Valid acc: 79.45% | Test acc: 62.89%
Epoch 00086 | Loss 0.7560 | Avg Epoch Time 0.3734s
Epoch 00087 | Loss 0.7535 | Avg Epoch Time 0.3734s
Epoch 00088 | Loss 0.7335 | Avg Epoch Time 0.3734s
Epoch 00089 | Loss 0.7352 | Avg Epoch Time 0.3734s
Epoch 00090 | Loss 0.7171 | Avg Epoch Time 0.3734s
Epoch 00090 | Valid acc: 82.00% | Test acc: 65.17%
Epoch 00091 | Loss 0.7061 | Avg Epoch Time 0.3735s
Epoch 00092 | Loss 0.6960 | Avg Epoch Time 0.3735s
Epoch 00093 | Loss 0.6900 | Avg Epoch Time 0.3735s
Epoch 00094 | Loss 0.6761 | Avg Epoch Time 0.3735s
Epoch 00095 | Loss 0.6694 | Avg Epoch Time 0.3735s
Epoch 00095 | Valid acc: 82.89% | Test acc: 66.91%
Epoch 00096 | Loss 0.6620 | Avg Epoch Time 0.3736s
Epoch 00097 | Loss 0.6544 | Avg Epoch Time 0.3736s
Epoch 00098 | Loss 0.6500 | Avg Epoch Time 0.3736s
Epoch 00099 | Loss 0.6336 | Avg Epoch Time 0.3736s
Epoch 00100 | Loss 0.6300 | Avg Epoch Time 0.3736s
Epoch 00100 | Valid acc: 84.10% | Test acc: 68.40%
Epoch 00101 | Loss 0.6195 | Avg Epoch Time 0.3737s
Epoch 00102 | Loss 0.6122 | Avg Epoch Time 0.3737s
Epoch 00103 | Loss 0.6083 | Avg Epoch Time 0.3737s
Epoch 00104 | Loss 0.6100 | Avg Epoch Time 0.3737s
Epoch 00105 | Loss 0.5928 | Avg Epoch Time 0.3737s
Epoch 00105 | Valid acc: 85.50% | Test acc: 69.00%
Epoch 00106 | Loss 0.5776 | Avg Epoch Time 0.3737s
Epoch 00107 | Loss 0.5718 | Avg Epoch Time 0.3737s
Epoch 00108 | Loss 0.5823 | Avg Epoch Time 0.3738s
Epoch 00109 | Loss 0.5761 | Avg Epoch Time 0.3738s
Epoch 00110 | Loss 0.5673 | Avg Epoch Time 0.3738s
Epoch 00110 | Valid acc: 86.13% | Test acc: 69.45%
Epoch 00111 | Loss 0.5609 | Avg Epoch Time 0.3738s
Epoch 00112 | Loss 0.5491 | Avg Epoch Time 0.3738s
Epoch 00113 | Loss 0.5459 | Avg Epoch Time 0.3738s
Epoch 00114 | Loss 0.5397 | Avg Epoch Time 0.3738s
Epoch 00115 | Loss 0.5347 | Avg Epoch Time 0.3738s
Epoch 00115 | Valid acc: 85.81% | Test acc: 69.45%
Epoch 00116 | Loss 0.5308 | Avg Epoch Time 0.3739s
