#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1147147                     667431                      
GPU 0     0.741        0.410        92                23                0.169        0                           0                           17445172                    119481991                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1178413                     698705                      
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1162711                     677813                      
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          91                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1626816                     1037616                     
GPU 0     0.762        0.444        91                23                0.200        0                           0                           19106031                    148615772                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1183656                     703936                      
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1157535                     677836                      
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     0.756        0.416        91                23                0.167        0                           0                           16662411                    115981205                   
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1418271                     964633                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1146914                     667295                      
GPU 0     N/A          N/A          92                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1391269                     890003                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          92                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           3008719                     2367345                     
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           3389124                     2711299                     
GPU 0     0.759        0.414        92                22                0.174        0                           0                           20352937                    125121113                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           2966263                     2293771                     
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          92                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           6011744                     5015869                     
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           6211394                     5246568                     
GPU 0     0.735        0.427        92                22                0.193        0                           0                           24275650                    173236324                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           6142074                     5151417                     
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          92                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1590003                     1094756                     
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1554191                     1074373                     
GPU 0     0.762        0.426        92                23                0.168        0                           0                           15677517                    113228830                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1533309                     1043067                     
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          92                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1616352                     1032379                     
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1162768                     683061                      
GPU 0     0.765        0.416        89                23                0.173        0                           0                           15951345                    119541384                   
