,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
11,GPU 1,0.0,,0,0,,,0.0,2784408.0,
19,GPU 1,0.0,,0,0,,,0.0,6335371.0,5360297.0
27,GPU 1,0.0,,0,0,,,0.0,1579880.0,1089752.0
35,GPU 1,0.0,,0,0,,,0.0,907087.0,735053.0
43,GPU 1,0.0,,0,0,,,0.0,1068921.0,782137.0
51,GPU 1,0.0,,0,0,,,0.0,1215179.0,740581.0
59,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1830613.0,1314286.0
69,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1647652.0,1063674.0
77,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,2455487.0,1496231.0
85,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1225379.0,745656.0
93,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1225315.0,745617.0
101,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1334860.0,855144.0
109,GPU 1,0.0,,0,0,,,0.0,3368737.0,
117,GPU 1,0.0,,0,0,,,0.0,6673967.0,
127,GPU 1,0.0,,0,0,,,0.0,1548198.0,
135,GPU 1,0.0,,0,0,,,0.0,1835397.0,1319192.0
143,GPU 1,0.0,,0,0,,,0.0,1428912.0,855261.0
151,GPU 1,0.0,,0,0,,,0.0,1194035.0,714335.0
159,GPU 1,0.0,,0,0,,,0.0,1194052.0,740416.0
167,GPU 1,0.0,,0,0,,,0.0,1188855.0,709141.0
175,GPU 1,0.0,,0,0,,,0.0,1209750.0,724807.0
185,GPU 1,0.0,,0,0,,,0.0,1194025.0,719543.0
193,GPU 1,0.0,,0,0,,,0.0,1214689.0,735069.0
201,GPU 1,0.0,,0,0,,,0.0,1240588.0,763039.0
209,GPU 1,0.0,,0,0,,,0.0,2878678.0,
217,GPU 1,0.0,,0,0,,,0.0,2358219.0,
225,GPU 1,0.0,,0,0,,,0.0,6887569.0,
233,GPU 1,0.0,,0,0,,,0.0,1522280.0,1027018.0
243,GPU 1,0.0,,0,0,,,0.0,1188823.0,709122.0
251,GPU 1,0.0,,0,0,,,0.0,1194106.0,714377.0
259,GPU 1,0.0,,0,0,,,0.0,1152321.0,672622.0
267,GPU 1,0.0,,0,0,,,0.0,1183668.0,698729.0
271,GPU 1,0.0,,0,0,,,0.0,1183668.0,698729.0
275,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1006458.0,505836.0
283,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1141871.0,672609.0
291,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,2715939.0,2069535.0
301,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1887576.0,1428718.0
313,GPU 1,0.0,,0,0,,,,3718227.0,
321,GPU 1,0.0,,0,0,,,,3435959.0,
329,GPU 1,0.0,,0,0,,,,6006711.0,
341,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1173254.0,698738.0
349,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1272226.0,776892.0
359,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1167785.0,688159.0
367,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1173192.0,698701.0
375,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1152595.0,672782.0
383,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1194326.0,709294.0
391,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1538195.0,959416.0
399,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1673533.0,1157397.0
407,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1167983.0,688275.0
417,GPU 1,0.0,0.0,0,0,0.0,0.0,,1178460.0,693518.0
425,GPU 1,0.0,0.0,0,0,0.0,0.0,,3435484.0,2805307.0
433,GPU 1,0.0,0.0,0,0,0.0,0.0,,6166945.0,5181693.0
441,GPU 1,0.0,0.0,0,0,0.0,0.0,,1527931.0,1037741.0
449,GPU 1,0.0,0.0,0,0,0.0,0.0,,1193987.0,
457,GPU 1,0.0,0.0,0,0,0.0,0.0,,1173369.0,
465,GPU 1,0.0,0.0,0,0,0.0,0.0,,1157495.0,
475,GPU 1,0.0,0.0,0,0,0.0,0.0,,1533134.0,
483,GPU 1,0.0,0.0,0,0,0.0,0.0,,1663198.0,
499,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,818506.0,344085.0
507,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1173231.0,693509.0
515,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1209596.0,729928.0
519,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,2726527.0,2074871.0
529,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,6950428.0,5975386.0
533,GPU 1,0.0,,0,0,,,,6950428.0,
537,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1069149.0,604981.0
541,GPU 1,0.0,,0,0,,,,1069149.0,
549,GPU 1,0.0,,0,0,,,,1538534.0,
557,GPU 1,0.0,,0,0,,,,2987723.0,
565,GPU 1,0.0,,0,0,,,,11594792.0,
577,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,3019273.0,2549956.0
581,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,3019273.0,3764505.0
587,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,4557033.0,3764505.0
591,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,4557033.0,3764505.0
595,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,3868983.0,3206772.0
599,GPU 1,0.0,0.0,0,0,0.0,0.0,,4109290.0,3483509.0
607,GPU 1,0.0,0.0,0,0,0.0,0.0,,5526820.0,4583090.0
615,GPU 1,0.0,0.0,0,0,0.0,0.0,,4503485.0,4013523.0
623,GPU 1,0.0,0.0,0,0,0.0,0.0,,3430713.0,2768554.0
