,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
9,GPU 3,0.762,0.434,94,22,0.171,0.0,0.0,14573517.0,113554808.0
13,GPU 3,0.762,,94,22,,,,,
17,GPU 3,0.76,0.419,94,22,0.171,0.0,0.0,16667440.0,119033821.0
21,GPU 3,0.76,,94,22,,,,,
25,GPU 3,0.762,0.429,93,22,0.199,0.0,0.0,20583829.0,175100473.0
29,GPU 3,0.762,,93,24,,,,,
33,GPU 3,0.756,0.427,93,24,0.171,0.0,0.0,17438841.0,118057944.0
37,GPU 3,0.756,,93,24,,,,,
41,GPU 3,0.76,0.423,93,24,0.17,0.0,0.0,16367034.0,117307490.0
45,GPU 3,0.76,,93,24,,,,,
49,GPU 3,0.761,0.429,93,24,0.2,0.0,0.0,19613627.0,159204562.0
53,GPU 3,0.761,,93,24,,,,,
57,GPU 3,0.754,0.423,92,24,0.171,0.0,0.0,16083140.0,117093994.0
63,GPU 3,0.754,,92,22,,,,,
67,GPU 3,0.769,0.432,92,22,0.172,0.0,0.0,16269824.0,116580453.0
71,GPU 3,0.769,,92,22,,,0.0,,
75,GPU 3,0.759,,92,22,,,,,168206623.0
79,GPU 3,0.759,0.427,92,24,0.193,0.0,0.0,21200003.0,
83,GPU 3,0.748,,92,24,,,,,121942088.0
87,GPU 3,0.748,0.414,92,24,0.17,0.0,0.0,21087573.0,
91,GPU 3,0.765,,92,24,,,,,113705698.0
95,GPU 3,0.765,0.436,93,24,0.172,0.0,0.0,15777146.0,
99,GPU 3,0.758,,93,24,,0.0,,,161251684.0
103,GPU 3,0.758,0.426,93,24,0.198,0.0,0.0,18565315.0,
107,GPU 3,0.751,,93,24,,,,,119269688.0
111,GPU 3,0.751,0.411,92,22,0.171,,0.0,15897072.0,
115,GPU 3,0.787,,92,22,0.177,0.0,,,115921398.0
121,GPU 3,0.787,,92,22,,,0.0,,
125,GPU 3,0.739,0.42,92,22,0.195,0.0,,20382603.0,171864654.0
129,GPU 3,0.739,,92,24,,,,,
133,GPU 3,0.773,0.419,92,24,0.172,0.0,0.0,17663592.0,120698613.0
137,GPU 3,0.773,,92,24,,,0.0,,
141,GPU 3,0.749,0.426,92,24,0.171,0.0,,16817957.0,116294718.0
145,GPU 3,0.749,,92,24,,,,,
149,GPU 3,0.741,0.426,92,24,0.194,0.0,0.0,19732914.0,157010112.0
153,GPU 3,0.741,,92,24,,,,,
157,GPU 3,0.775,0.42,92,24,0.172,0.0,0.0,17030633.0,120416411.0
161,GPU 3,0.775,,92,22,,,,,
165,GPU 3,0.731,,92,22,,,,,115553527.0
169,GPU 3,0.731,0.41,92,22,0.167,0.0,0.0,16483860.0,
173,GPU 3,0.77,,92,24,,,,,169971397.0
179,GPU 3,0.77,0.449,93,24,0.201,0.0,0.0,20347442.0,
183,GPU 3,0.758,,93,24,,,,,120858472.0
187,GPU 3,0.758,0.413,93,24,0.169,0.0,0.0,19066201.0,
191,GPU 3,0.749,,92,24,,,,,125177842.0
195,GPU 3,0.749,0.414,92,24,0.172,0.0,0.0,22393723.0,
199,GPU 3,0.769,,92,24,,0.0,,,161616741.0
203,GPU 3,0.769,0.448,92,24,0.201,,0.0,19901462.0,
207,GPU 3,0.753,,92,22,,0.0,,,115020630.0
211,GPU 3,0.753,0.414,92,22,,,0.0,16268646.0,
215,GPU 3,0.755,,92,22,0.173,0.0,,,121602584.0
219,GPU 3,0.755,0.412,92,22,,,0.0,17023008.0,
223,GPU 3,0.74,,93,24,0.195,0.0,,,166597477.0
227,GPU 3,0.74,0.431,93,24,,,0.0,20016255.0,
231,GPU 3,0.769,,93,24,0.17,0.0,,,114892948.0
237,GPU 3,0.769,0.43,93,24,,,0.0,16335934.0,
241,GPU 3,0.775,,93,24,0.174,0.0,,,122076926.0
245,GPU 3,0.775,0.42,93,24,,,0.0,16909286.0,
249,GPU 3,0.734,0.425,93,24,0.196,0.0,,19188644.0,160594276.0
253,GPU 3,0.734,,94,24,,,0.0,,
257,GPU 3,0.773,0.436,94,22,0.17,0.0,,15902208.0,113865227.0
261,GPU 3,0.773,,94,22,,,0.0,,
265,GPU 3,0.775,0.421,94,22,0.175,0.0,,16275753.0,122057749.0
269,GPU 3,0.775,,88,22,,,0.0,,
273,GPU 3,0.698,0.4,88,23,0.189,0.0,0.0,17950625.0,144443429.0
277,GPU 3,0.698,,88,23,,,,,
281,GPU 3,0.773,0.44,88,23,0.171,0.0,0.0,16261378.0,119628361.0
285,GPU 3,0.773,,93,23,,,0.0,,
289,GPU 3,0.76,0.417,93,24,0.171,0.0,,18366465.0,121408004.0
295,GPU 3,0.76,0.417,93,24,0.171,0.0,0.0,18366465.0,
299,GPU 3,0.736,,93,24,,,,,291555650.0
303,GPU 3,0.736,0.415,93,24,0.359,0.0,,43018279.0,
307,GPU 3,0.766,,91,22,,,0.0,,117280537.0
311,GPU 3,0.766,0.429,91,22,0.172,0.0,,16688221.0,
315,GPU 3,0.717,,91,22,,,0.0,,112989405.0
319,GPU 3,0.717,0.39,91,22,0.161,0.0,,15058660.0,
323,GPU 3,0.732,,89,23,,0.0,0.0,,159372803.0
327,GPU 3,0.732,0.417,89,23,0.194,,,18656044.0,
331,GPU 3,0.787,,89,23,0.176,0.0,0.0,,114980679.0
335,GPU 3,0.787,0.449,89,23,,,,15637788.0,
339,GPU 3,0.759,,94,22,0.172,0.0,0.0,,119711705.0
343,GPU 3,0.759,0.415,94,22,,,,16014317.0,
347,GPU 3,0.76,,94,22,0.197,0.0,0.0,,175412280.0
353,GPU 3,0.76,0.428,91,22,,,,19404880.0,
357,GPU 3,0.758,,91,24,0.171,0.0,0.0,,116801532.0
361,GPU 3,0.758,,91,24,,,,,
365,GPU 3,0.759,0.419,91,24,0.171,0.0,0.0,17047287.0,119252935.0
369,GPU 3,0.759,,92,24,,,0.0,,
373,GPU 3,0.757,0.425,92,24,0.197,0.0,,19816844.0,159948021.0
377,GPU 3,0.757,,92,24,,,0.0,,
381,GPU 3,0.749,0.423,92,24,0.17,0.0,,16831445.0,117024074.0
385,GPU 3,0.749,,93,22,,,0.0,,
389,GPU 3,0.752,0.421,93,22,0.169,0.0,,17925578.0,116830884.0
393,GPU 3,0.752,,93,22,,,0.0,,
397,GPU 3,0.758,0.427,93,22,0.198,0.0,,21598332.0,168515893.0
401,GPU 3,0.758,0.427,93,22,0.169,,,21598332.0,
405,GPU 3,0.746,0.414,92,24,,0.0,0.0,22086445.0,123161596.0
411,GPU 3,0.746,0.438,92,24,0.172,,0.0,17033145.0,
415,GPU 3,0.77,,92,24,,0.0,,,115864882.0
419,GPU 3,0.77,0.416,92,23,0.193,,0.0,19098874.0,
423,GPU 3,0.739,,92,23,,0.0,,,155505288.0
427,GPU 3,0.739,0.412,92,23,0.171,,0.0,17053374.0,
431,GPU 3,0.753,,92,23,,0.0,,,120685021.0
435,GPU 3,0.753,0.439,90,22,0.172,,0.0,15797900.0,
439,GPU 3,0.753,0.439,90,22,0.172,,0.0,15797900.0,
443,GPU 3,0.716,0.41,90,22,0.189,0.0,0.0,18793538.0,164218368.0
447,GPU 3,0.716,,90,22,,,,,
451,GPU 3,0.77,0.417,93,24,0.171,0.0,0.0,15818947.0,118342801.0
455,GPU 3,0.77,,93,24,,,,,
459,GPU 3,0.723,0.405,93,24,0.165,0.0,0.0,15323537.0,113266132.0
463,GPU 3,0.723,,93,24,,,,,113266132.0
469,GPU 3,0.702,0.407,87,22,0.186,0.0,0.0,15682516.0,108881765.0
473,GPU 3,0.702,,87,22,,,,,
477,GPU 3,0.761,0.422,87,22,0.169,0.0,0.0,16617995.0,115633549.0
481,GPU 3,0.761,,87,22,,,,,
485,GPU 3,0.766,0.416,92,22,0.174,0.0,0.0,17376983.0,123125965.0
489,GPU 3,0.766,,92,22,,,,,
493,GPU 3,0.726,0.423,92,22,0.193,0.0,0.0,21537214.0,169444829.0
497,GPU 3,0.726,,92,24,,,,,
501,GPU 3,0.771,0.432,92,24,0.165,0.0,0.0,16157540.0,112014765.0
505,GPU 3,0.771,,92,24,,,,,112014765.0
509,GPU 3,0.771,0.419,92,24,0.174,0.0,0.0,22493177.0,
513,GPU 3,0.774,,93,24,,,,,126866306.0
517,GPU 3,0.774,0.426,93,24,0.198,0.0,0.0,19806923.0,
521,GPU 3,0.735,,93,24,,,,,157908955.0
527,GPU 3,0.735,0.438,93,24,0.171,0.0,0.0,15341086.0,
531,GPU 3,0.774,,93,24,,,,,112171947.0
535,GPU 3,0.774,0.414,93,22,0.171,0.0,0.0,16138523.0,
539,GPU 3,0.764,,93,22,,,,,120708455.0
543,GPU 3,0.764,0.418,93,22,0.197,0.0,0.0,19930430.0,
547,GPU 3,0.732,,92,22,,,,,178463452.0
551,GPU 3,0.732,0.454,92,24,0.175,0.0,0.0,15677661.0,
555,GPU 3,0.795,,92,24,,,,,112382602.0
559,GPU 3,0.795,0.412,92,24,0.168,0.0,0.0,16448626.0,
563,GPU 3,0.757,,93,24,,,,,119440279.0
567,GPU 3,0.757,0.424,93,24,0.194,0.0,0.0,16580682.0,
571,GPU 3,0.751,,93,24,,,,,123639314.0
575,GPU 3,0.751,0.442,93,24,0.178,0.0,0.0,17745363.0,
579,GPU 3,0.774,,94,24,,,,,151325041.0
585,GPU 3,0.774,0.416,94,22,0.17,0.0,0.0,15923241.0,
589,GPU 3,0.759,,94,22,,,,,119130204.0
593,GPU 3,0.759,,94,22,0.178,0.0,,,
597,GPU 3,0.758,0.417,93,24,,,0.0,16397535.0,121865275.0
601,GPU 3,0.758,,93,24,0.193,0.0,,,
605,GPU 3,0.764,0.443,93,24,0.193,,0.0,21877555.0,166092529.0
609,GPU 3,0.764,,93,24,,0.0,,,
613,GPU 3,0.762,0.422,93,23,0.171,,0.0,16637767.0,118627282.0
617,GPU 3,0.762,,92,23,,0.0,,,
621,GPU 3,0.775,0.42,92,23,0.174,,0.0,21636720.0,126045208.0
625,GPU 3,0.775,,92,23,,0.0,,,
629,GPU 3,0.727,0.424,92,23,0.193,,0.0,18214071.0,150674839.0
633,GPU 3,0.727,,93,23,,0.0,,,
637,GPU 3,0.768,0.431,93,23,0.172,,0.0,16063424.0,116708455.0
643,GPU 3,0.768,,93,23,,0.0,,,
647,GPU 3,0.775,0.421,93,24,0.174,,0.0,16851719.0,121902956.0
651,GPU 3,0.775,,93,24,,0.0,,,
655,GPU 3,0.738,0.425,93,24,0.195,,0.0,19318133.0,173316609.0
659,GPU 3,0.738,,93,24,0.173,0.0,,,
663,GPU 3,0.772,0.439,93,22,,,0.0,15574876.0,114817258.0
667,GPU 3,0.772,,94,22,0.174,0.0,,,
671,GPU 3,0.774,0.42,94,22,,,0.0,16247651.0,122016169.0
675,GPU 3,0.774,,94,22,0.195,0.0,,,
679,GPU 3,0.736,0.419,94,24,,,0.0,18711172.0,159982083.0
683,GPU 3,0.736,,92,24,0.177,0.0,,,
687,GPU 3,0.789,0.451,92,24,,,0.0,16607187.0,116083716.0
691,GPU 3,0.789,,92,24,0.17,0.0,,,
695,GPU 3,0.757,0.411,92,24,,,0.0,16051468.0,120557767.0
701,GPU 3,0.754,,93,24,0.199,0.0,,,
705,GPU 3,0.754,0.427,93,24,0.199,0.0,,19840721.0,
709,GPU 3,0.769,0.439,93,24,0.173,0.0,0.0,16846602.0,114761949.0
713,GPU 3,0.769,,94,22,,,,,
717,GPU 3,0.769,,94,22,,,,,
721,GPU 3,0.761,0.418,94,22,0.171,0.0,0.0,17431191.0,120147372.0
725,GPU 3,0.76,0.427,94,22,0.197,,0.0,22175401.0,163379917.0
729,GPU 3,0.76,,93,24,,0.0,,,
733,GPU 3,0.76,0.432,93,24,0.173,,0.0,22042427.0,120853309.0
737,GPU 3,0.76,,93,24,,0.0,,,
741,GPU 3,0.763,0.423,93,24,0.171,,0.0,15891180.0,117909858.0
745,GPU 3,0.763,,92,23,,0.0,,,
749,GPU 3,0.737,0.417,92,23,0.194,,0.0,18951532.0,170350677.0
753,GPU 3,0.737,,92,23,,0.0,,,
759,GPU 3,0.751,0.418,92,23,0.169,,0.0,15739126.0,117031869.0
763,GPU 3,0.751,,92,22,,0.0,,,
767,GPU 3,0.771,0.436,92,22,0.173,,0.0,15598654.0,115347806.0
771,GPU 3,0.771,,92,22,,0.0,,,
775,GPU 3,0.758,0.426,92,22,0.198,,0.0,19310562.0,171781267.0
779,GPU 3,0.758,,93,24,,0.0,,,
783,GPU 3,0.753,0.416,93,24,0.17,,0.0,16001148.0,118853035.0
787,GPU 3,0.753,,93,24,,0.0,,,
791,GPU 3,0.775,0.441,93,24,0.173,,0.0,15559146.0,114996048.0
795,GPU 3,0.775,,93,24,,0.0,,,
799,GPU 3,0.762,0.43,93,24,0.2,,0.0,19209491.0,162916466.0
803,GPU 3,0.762,,93,24,,0.0,,,
807,GPU 3,0.748,0.409,93,24,0.169,,0.0,15945790.0,119132700.0
811,GPU 3,0.748,,93,22,,,,,
817,GPU 3,0.794,0.453,93,22,0.177,0.0,0.0,16221777.0,115873553.0
821,GPU 3,0.794,,93,22,,,,,
825,GPU 3,0.744,0.42,93,22,0.195,,0.0,21360340.0,176342402.0
829,GPU 3,0.744,,93,24,,0.0,,,
833,GPU 3,0.773,0.421,93,24,0.176,,0.0,17599014.0,123219132.0
837,GPU 3,0.773,,93,24,,0.0,,,
841,GPU 3,0.767,0.438,93,24,0.172,,0.0,20654683.0,117988840.0
845,GPU 3,0.767,,93,24,,0.0,,,
849,GPU 3,0.747,0.426,93,24,0.196,,0.0,20340565.0,163734522.0
853,GPU 3,0.747,,93,24,,0.0,,,
857,GPU 3,0.778,0.42,93,22,0.172,,0.0,16685409.0,120159929.0
861,GPU 3,0.778,,94,22,,0.0,,,
865,GPU 3,0.76,0.433,94,22,0.174,,0.0,16343691.0,117280544.0
869,GPU 3,0.76,,94,22,,0.0,,,
875,GPU 3,0.751,0.433,94,24,0.197,,0.0,20521908.0,177695279.0
879,GPU 3,0.751,,93,24,,0.0,,,
883,GPU 3,0.774,0.419,93,24,0.172,,0.0,17045356.0,120056111.0
887,GPU 3,0.774,,93,24,,0.0,,,
891,GPU 3,0.756,0.426,93,24,0.173,,0.0,16561621.0,118126388.0
895,GPU 3,0.756,,92,24,,0.0,,,
899,GPU 3,0.753,0.437,92,24,0.196,,0.0,19047410.0,160615719.0
903,GPU 3,0.753,,92,24,,0.0,,,
907,GPU 3,0.776,0.42,92,22,0.172,,0.0,17474018.0,121152502.0
911,GPU 3,0.776,,94,22,0.173,0.0,,,
915,GPU 3,0.754,0.422,94,22,,,0.0,16433435.0,118616027.0
919,GPU 3,0.754,,94,22,0.201,0.0,,,
923,GPU 3,0.772,0.449,93,24,,,0.0,20054950.0,173663908.0
927,GPU 3,0.772,,93,24,0.169,0.0,,,
933,GPU 3,0.762,0.415,93,24,0.169,,0.0,18539166.0,120444710.0
937,GPU 3,0.762,,93,24,,0.0,,,
