,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
11888,GPU 0,0.793,,100,28,,,,,
11892,GPU 0,0.787,0.439,100,28,0.216,0.0,0.0,5868752.0,24037410.0
11898,GPU 0,0.787,,100,28,,,,,
11902,GPU 0,0.768,0.429,100,28,0.212,0.0,0.0,5864703.0,24109292.0
11906,GPU 0,0.768,,100,28,,,,,
11910,GPU 0,0.796,0.448,100,28,0.217,0.0,0.0,5891523.0,24190638.0
11914,GPU 0,0.796,,100,28,,,,,
11918,GPU 0,0.778,0.435,100,27,0.215,0.0,0.0,7996903.0,26493318.0
11922,GPU 0,0.778,,100,27,,,,,
11926,GPU 0,0.175,0.095,100,27,0.049,0.0,0.0,132160240.0,1650333015.0
11930,GPU 0,0.175,,59,17,,,,,
11934,GPU 0,0.884,0.517,59,17,0.221,0.0,0.0,39401392.0,493473142.0
11938,GPU 0,0.884,,59,17,,,,,
11942,GPU 0,0.979,0.57,59,17,0.244,771019355.0,20813.0,7466882.0,27921457.0
11946,GPU 0,0.979,,100,27,,,,,
11950,GPU 0,0.793,0.459,100,27,0.189,770526016.0,26000.0,19261070.0,49858299.0
11956,GPU 0,0.793,,100,27,,,,,
11960,GPU 0,0.426,0.218,100,27,0.083,0.0,0.0,44206618.0,103277244.0
11964,GPU 0,0.426,,100,10,,,,,
11968,GPU 0,0.393,0.217,100,10,0.078,0.0,0.0,44860382.0,95369966.0
11972,GPU 0,0.393,,100,10,,,,,
11976,GPU 0,0.389,0.19,100,10,0.079,0.0,0.0,42915265.0,102584160.0
11980,GPU 0,0.389,,100,11,,,,,
11984,GPU 0,0.369,0.217,100,11,0.095,0.0,0.0,46280565.0,195758492.0
11988,GPU 0,0.369,,100,11,,,,,
11992,GPU 0,0.385,0.186,100,11,0.074,0.0,0.0,29392981.0,83405058.0
11996,GPU 0,0.385,,100,10,,,,,
12000,GPU 0,0.385,0.236,100,10,0.085,0.0,0.0,44592378.0,100617899.0
12004,GPU 0,0.39,,100,10,,,,,
12008,GPU 0,0.39,0.203,100,10,0.076,0.0,0.0,38792316.0,92898485.0
12014,GPU 0,0.413,,100,10,,,,,
12018,GPU 0,0.413,0.212,100,10,0.081,0.0,0.0,46440443.0,103471745.0
12022,GPU 0,0.399,,100,10,,,,,
12026,GPU 0,0.399,0.221,100,10,0.079,0.0,0.0,49177901.0,102125899.0
12030,GPU 0,0.392,,100,11,,,,,
12034,GPU 0,0.392,,100,11,,,,,
12038,GPU 0,0.392,,100,11,,,0.0,47833014.0,
12042,GPU 0,0.372,0.218,100,11,0.097,0.0,,,162765553.0
12046,GPU 0,0.372,,100,10,,,0.0,39244504.0,
12050,GPU 0,0.386,0.186,100,10,0.074,0.0,,,94327435.0
12054,GPU 0,0.386,,100,10,,,0.0,50321015.0,
12058,GPU 0,0.435,0.237,100,10,0.085,0.0,,,107671561.0
12062,GPU 0,0.435,,100,10,,,0.0,32234724.0,
12066,GPU 0,0.389,0.201,100,10,0.076,0.0,,,84852329.0
12072,GPU 0,0.389,,100,10,,,0.0,33690687.0,
12076,GPU 0,0.389,0.209,100,10,0.08,0.0,,,88001950.0
12080,GPU 0,0.395,,100,10,,,0.0,44287526.0,
12084,GPU 0,0.395,0.216,100,10,0.077,0.0,,,95886010.0
12088,GPU 0,0.399,,100,10,,,0.0,43991663.0,
12092,GPU 0,0.399,0.195,100,10,0.081,0.0,,,105127060.0
12096,GPU 0,0.371,,100,12,0.097,0.0,0.0,52736862.0,
12100,GPU 0,0.371,0.219,100,12,,,,,211728350.0
12104,GPU 0,0.386,,100,12,0.074,0.0,0.0,36950224.0,
12108,GPU 0,0.386,,100,12,,,,,
12112,GPU 0,0.425,0.23,100,10,0.081,0.0,0.0,41753389.0,96235392.0
12116,GPU 0,0.425,,100,10,,,,,
12120,GPU 0,0.71,0.388,100,10,0.184,26010.0,770820818.0,41278366.0,96274571.0
12124,GPU 0,0.71,,100,10,,,,,
12130,GPU 0,0.798,0.452,100,26,0.217,0.0,0.0,6517474.0,23123501.0
12134,GPU 0,0.798,,100,26,,,,,
12138,GPU 0,0.788,0.444,100,26,0.216,0.0,0.0,8107459.0,24509593.0
12142,GPU 0,0.788,,100,28,,,,,
12146,GPU 0,0.775,0.436,100,28,0.213,0.0,0.0,8774265.0,25177875.0
12150,GPU 0,0.775,,100,28,,,,,
12154,GPU 0,0.794,0.449,100,28,0.216,0.0,0.0,10087356.0,28233153.0
12158,GPU 0,0.794,,100,27,,,,,
12162,GPU 0,0.795,0.45,100,27,0.217,26034.0,771557577.0,7013781.0,25613058.0
12166,GPU 0,0.795,,100,27,,,,,
12170,GPU 0,0.795,0.426,100,27,0.213,0.0,0.0,5805064.0,23776838.0
12174,GPU 0,0.786,,100,28,,,,,
12178,GPU 0,0.786,0.442,100,28,0.216,0.0,0.0,5897059.0,24368962.0
12182,GPU 0,0.793,,100,28,,,,,
12188,GPU 0,0.793,0.446,100,28,0.217,0.0,0.0,5904147.0,24178891.0
12192,GPU 0,0.77,,100,27,,,,,
12196,GPU 0,0.77,0.429,100,27,0.212,0.0,0.0,6838416.0,24882074.0
12200,GPU 0,0.735,,100,27,,,,,
12204,GPU 0,0.735,0.41,100,27,0.202,0.0,0.0,23822662.0,318074161.0
12208,GPU 0,0.186,,59,16,,,,,
12212,GPU 0,0.186,0.108,59,16,0.046,0.0,0.0,140003760.0,1818737271.0
12216,GPU 0,0.982,,59,16,,,,,
12220,GPU 0,0.982,0.576,59,16,0.244,0.0,0.0,10510010.0,31654655.0
12224,GPU 0,0.978,,100,31,,,,,
12228,GPU 0,0.978,0.569,100,31,0.244,770827061.0,26010.0,6466128.0,26103808.0
12232,GPU 0,0.648,,100,31,,,,,
12236,GPU 0,0.648,0.374,100,31,0.146,770664767.0,26004.0,,72777233.0
12240,GPU 0,0.386,,100,13,,,,38961607.0,
12246,GPU 0,0.386,0.188,100,13,0.077,0.0,0.0,,96801573.0
12250,GPU 0,0.401,,100,13,,,,,
12254,GPU 0,0.401,,100,13,,,,,
12258,GPU 0,0.401,,100,12,,,,,
12262,GPU 0,0.401,0.19,100,12,0.1,0.0,0.0,,152768071.0
12266,GPU 0,0.36,,100,12,,,,35684874.0,
12270,GPU 0,0.36,0.229,100,51,0.081,0.0,0.0,,98861605.0
12274,GPU 0,0.422,,100,51,,,,45245276.0,
12278,GPU 0,0.422,0.205,100,51,0.076,0.0,0.0,,89236105.0
12282,GPU 0,0.398,,100,51,,,,36547334.0,
12286,GPU 0,0.398,0.216,100,10,0.08,0.0,0.0,,97389696.0
12290,GPU 0,0.398,,100,10,,,,,
12294,GPU 0,0.386,0.213,100,10,0.075,0.0,0.0,44072349.0,93539404.0
12298,GPU 0,0.386,,100,10,,,,,
