,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
9,GPU 3,0.0,0.0,0,0,0.0,0.0,,3769555.0,3102192.0
17,GPU 3,0.0,,0,0,,,,,636136.0
25,GPU 3,0.0,,0,0,,,,,2153380.0
33,GPU 3,0.0,,0,0,,,,,985510.0
41,GPU 3,0.0,,0,0,,,,,5120210.0
49,GPU 3,0.0,,0,0,,,,,1490983.0
57,GPU 3,0.0,,0,0,,0.0,,,703904.0
71,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,2112196.0,1535906.0
79,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1449487.0,1006299.0
87,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1845498.0,1308531.0
95,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1194015.0,714323.0
103,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1105459.0,630946.0
111,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1204445.0,724752.0
121,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1194052.0,714345.0
129,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,3102742.0,2534341.0
133,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,3102742.0,2534341.0
137,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,2820865.0,2304662.0
145,GPU 3,0.0,,0,0,,,,,5567214.0
153,GPU 3,0.0,,0,0,,0.0,,,3123266.0
161,GPU 3,0.0,,0,0,,0.0,,,1016923.0
169,GPU 3,0.0,,0,0,,0.0,,,829022.0
179,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1527751.0,1042833.0
187,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1366139.0,891640.0
195,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1527820.0,1042881.0
203,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,2753045.0,2122139.0
211,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1402335.0,927939.0
219,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,3759301.0,2935487.0
227,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1700193.0,1142154.0
237,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1548924.0,1074338.0
245,GPU 3,0.0,,0,0,0.0,0.0,,,2758223.0
253,GPU 3,0.0,,0,0,0.0,0.0,,,4285404.0
261,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,3086659.0,2466199.0
265,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,3086659.0,
269,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,2023139.0,1532997.0
277,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1856199.0,1360865.0
285,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1173210.0,693497.0
295,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1173319.0,693562.0
303,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1579886.0,1074114.0
311,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,2283195.0,1709789.0
319,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,2445441.0,1955310.0
327,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1183779.0,709224.0
335,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1199225.0,714320.0
343,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1193346.0,713923.0
353,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,2992966.0,
361,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1454813.0,
369,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,6402767.0,
377,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,2669106.0,
385,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1892726.0,
393,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,2060017.0,
401,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1439448.0,
405,GPU 3,0.0,,0,0,,,,,589195.0
415,GPU 3,0.0,,0,0,,,,,682958.0
423,GPU 3,0.0,,0,0,,,,,667397.0
431,GPU 3,0.0,,0,0,,,,,531872.0
439,GPU 3,0.0,,0,0,0.0,0.0,,,630902.0
447,GPU 3,0.0,,0,0,,0.0,,,672628.0
455,GPU 3,0.0,,0,0,,0.0,,,2442449.0
463,GPU 3,0.0,,0,0,0.0,0.0,,,5516622.0
473,GPU 3,0.0,,0,0,0.0,0.0,,,1443930.0
481,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1501686.0,1021981.0
489,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1173371.0,688377.0
497,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1167920.0,
