,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
10,GPU 2,0.741,0.411,93,22,0.18,0.0,0.0,16326822.0,121402440.0
14,GPU 2,0.741,,93,22,,,,,
18,GPU 2,0.762,0.438,92,24,0.185,0.0,0.0,18439783.0,158493711.0
22,GPU 2,0.762,,92,24,,,,,
26,GPU 2,0.762,0.419,92,24,0.17,0.0,0.0,15711243.0,116730685.0
30,GPU 2,0.755,,92,24,,,,,
34,GPU 2,0.755,,92,23,,,,,
38,GPU 2,0.755,0.416,92,23,0.173,0.0,0.0,16035753.0,119528839.0
42,GPU 2,0.765,,92,23,,,,,
46,GPU 2,0.765,0.424,92,23,0.193,0.0,0.0,17508393.0,145906751.0
50,GPU 2,0.763,0.43,92,22,0.172,0.0,0.0,15577163.0,115022148.0
54,GPU 2,0.763,,92,22,,,,,
58,GPU 2,0.77,0.417,92,22,0.172,0.0,0.0,17620496.0,122380179.0
64,GPU 2,0.77,,92,22,,,,,
68,GPU 2,0.77,,92,22,,,,,
72,GPU 2,0.77,0.401,90,23,0.188,0.0,0.0,18449535.0,163952478.0
76,GPU 2,0.78,,90,23,,,,,
80,GPU 2,0.78,,90,23,,0.0,0.0,18379187.0,116547137.0
84,GPU 2,0.75,0.412,93,23,0.17,,,21325015.0,
88,GPU 2,0.75,,93,22,,0.0,0.0,,
92,GPU 2,0.757,0.426,93,22,0.197,,,19732299.0,152306740.0
96,GPU 2,0.757,,93,22,,,0.0,,
100,GPU 2,0.749,0.424,92,23,0.17,0.0,,17183645.0,116808189.0
104,GPU 2,0.749,,92,23,,,0.0,,
108,GPU 2,0.76,0.423,92,23,0.17,0.0,,16884507.0,117667155.0
112,GPU 2,0.76,,92,23,,,0.0,,
116,GPU 2,0.749,0.422,92,23,0.196,0.0,,20201263.0,173243659.0
122,GPU 2,0.749,,92,23,,,0.0,,
126,GPU 2,0.683,0.378,92,23,0.157,0.0,,16132165.0,109983042.0
130,GPU 2,0.683,,92,23,,,0.0,,
134,GPU 2,0.786,0.447,88,21,0.176,0.0,,16545707.0,115877238.0
