,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
16,GPU 0,0.767,0.437,91.0,23.0,0.171,0.0,0.0,15010745.0,112081618.0
24,GPU 0,0.732,0.418,92.0,23.0,0.191,0.0,0.0,17741656.0,149622684.0
32,GPU 0,0.764,0.415,92.0,22.0,0.17,0.0,0.0,15656122.0,117075374.0
40,GPU 0,0.746,0.42,92.0,22.0,0.172,0.0,0.0,19315765.0,119053180.0
48,GPU 0,0.749,0.435,92.0,23.0,0.196,0.0,0.0,18911600.0,166706307.0
56,GPU 0,0.765,0.414,92.0,23.0,0.169,0.0,0.0,15701552.0,117571683.0
66,GPU 0,0.741,0.41,92.0,23.0,0.169,0.0,0.0,17445172.0,119481991.0
74,GPU 0,0.762,0.444,91.0,23.0,0.2,0.0,0.0,19106031.0,148615772.0
78,GPU 0,0.756,0.416,91.0,23.0,0.167,0.0,0.0,16662411.0,115981205.0
90,GPU 0,0.759,0.414,92.0,22.0,0.174,0.0,0.0,20352937.0,125121113.0
98,GPU 0,0.735,0.427,92.0,22.0,0.193,0.0,0.0,24275650.0,173236324.0
106,GPU 0,0.762,0.426,92.0,23.0,0.168,0.0,0.0,15677517.0,113228830.0
114,GPU 0,0.765,0.416,89.0,23.0,0.173,0.0,0.0,15951345.0,119541384.0
124,GPU 0,0.686,0.393,89.0,23.0,0.185,0.0,0.0,18132189.0,149949998.0
132,GPU 0,0.779,0.443,93.0,22.0,0.171,0.0,0.0,15871797.0,111222310.0
140,GPU 0,0.749,0.411,93.0,22.0,0.169,0.0,0.0,15782339.0,117529503.0
148,GPU 0,0.751,0.413,91.0,23.0,0.177,0.0,0.0,16540005.0,121348891.0
156,GPU 0,0.731,0.423,91.0,23.0,0.185,0.0,0.0,18180699.0,162091291.0
164,GPU 0,0.762,0.427,93.0,22.0,0.171,0.0,0.0,15614899.0,115334845.0
172,GPU 0,0.767,0.415,93.0,22.0,0.172,0.0,0.0,16172559.0,121049470.0
182,GPU 0,0.728,0.421,92.0,23.0,0.193,0.0,0.0,17491132.0,146580471.0
190,GPU 0,0.767,0.434,92.0,23.0,0.17,0.0,0.0,15633836.0,114609966.0
214,GPU 0,0.785,0.448,93.0,22.0,0.176,0.0,0.0,17363769.0,116006641.0
218,GPU 0,0.748,0.409,93.0,22.0,0.168,0.0,0.0,15392800.0,117597041.0
226,GPU 0,0.753,0.424,93.0,22.0,0.196,0.0,0.0,18138227.0,152597474.0
234,GPU 0,0.747,0.423,92.0,23.0,0.169,0.0,0.0,15608920.0,115180193.0
244,GPU 0,0.759,0.422,92.0,23.0,0.17,0.0,0.0,15715787.0,116832142.0
388,GPU 0,0.756,0.415,92.0,23.0,0.167,0.0,0.0,16616970.0,116032830.0
