#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1209947                     730140                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           2455487                     1496231                     
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1240966                     761265                      
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1211836                     746532                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1178670                     693642                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1225379                     745656                      
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1214943                     735223                      
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1350262                     766365                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1175950                     699354                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1225315                     745617                      
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1212054                     735520                      
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1235755                     756052                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1159585                     683327                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1334860                     855144                      
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1220027                     735144                      
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1235834                     756101                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1235834                     2148161                     
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         3790665                     N/A                         
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           3368737                     N/A                         
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           2147687                     N/A                         
GPU 3     N/A          0.000        0                 0                 0.000        0                           0                           2737342                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           3790665                     3045045                     
GPU 1     N/A          0.000        0                 0                 0.000        0                           0                           N/A                         2742965                     
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         1615978                     
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         5602735                     
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           6673967                     N/A                         
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           5156695                     N/A                         
#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 3     0.000        N/A          0                 0                 N/A          0                           N/A                         N/A                         1329631                     
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         1058407                     604804                      
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         4421514                     
GPU 3     N/A          0.000        0                 0                 0.000        0                           0                           1757199                     N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         604804                      
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           1548198                     N/A                         
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           4625722                     N/A                         
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         5251277                     
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         2257744                     N/A                         
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         1058196                     
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         3770458                     
GPU 3     N/A          0.000        0                 0                 0.000        N/A                         0                           6283802                     N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           1835397                     1319192                     
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           1538151                     N/A                         
GPU 3     0.000        N/A          0                 0                 N/A          0                           N/A                         N/A                         1053230                     
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         1480971                     933429                      
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         1048028                     
GPU 3     N/A          0.000        0                 0                 0.000        N/A                         0                           1543348                     N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           1428912                     855261                      
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           2195180                     N/A                         
GPU 3     0.000        N/A          0                 0                 0.000        0                           N/A                         N/A                         1131181                     
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         1611148                     1131453                     
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.000        0                 0                 N/A          N/A                         N/A                         N/A                         1574690                     
GPU 3     N/A          0.000        0                 0                 N/A          N/A                         0                           1636824                     N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           1194035                     714335                      
GPU 0     0.000        N/A          0                 0                 0.000        0                           0                           1048082                     N/A                         
GPU 3     0.000        N/A          0                 0                 0.000        0                           N/A                         N/A                         1673750                     
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.000        0                 0                 N/A          N/A                         N/A                         N/A                         578791                      
GPU 3     N/A          0.000        0                 0                 N/A          N/A                         0                           2153454                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         1600283                     1146782                     
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           1194052                     740416                      
GPU 0     0.000        N/A          0                 0                 0.000        0                           0                           1178444                     N/A                         
