Iteration,Iter Time (s)
456,0.4290
457,0.4295
458,0.4303
459,0.4294
460,0.4292
461,0.4350
462,0.4280
463,0.4281
464,0.4285
465,0.4280
466,0.4285
467,0.4290
468,0.4288
469,0.4279
470,0.4285
471,0.4337
472,0.4276
473,0.4279
474,0.3789
475,0.2322
476,0.2447
477,0.2553
478,0.2647
479,0.2684
480,0.2743
481,0.2422
482,0.2425
483,0.2602
484,0.2678
485,0.2655
486,0.2661
487,0.2657
488,0.2659
489,0.2555
490,0.2616
491,0.2403
492,0.2417
493,0.2612
494,0.2719
495,0.2715
496,0.2695
497,0.2688
498,0.2704
499,0.2714
500,0.2762
501,0.2404
502,0.2423
503,0.2605
504,0.2744
505,0.2692
506,0.2665
507,0.2696
508,0.2724
509,0.2700
510,0.2698
511,0.2436
512,0.2435
513,0.2671
514,0.2705
515,0.2768
516,0.2670
517,0.2658
518,0.2668
519,0.2753
520,0.2654
521,0.2399
522,0.2427
523,0.2601
524,0.2652
525,0.2640
526,0.2645
527,0.2674
528,0.2720
529,0.2701
530,0.2683
531,0.2417
532,0.2394
533,0.2457
534,0.2581
535,0.2500
536,0.2723
537,0.2757
538,0.2706
539,0.2569
540,0.2438
541,0.2422
542,0.2427
543,0.2636
544,0.2703
545,0.2676
546,0.2756
547,0.2775
548,0.2774
549,0.2753
550,0.2741
551,0.2446
552,0.2460
553,0.2688
554,0.2717
555,0.2685
556,0.2542
557,0.2714
558,0.2603
559,0.2620
560,0.2655
561,0.2417
562,0.2667
563,0.2589
564,0.2515
565,0.2548
566,0.2575
567,0.2606
568,0.2656
569,0.2688
570,0.2685
571,0.2407
572,0.2443
573,0.2655
574,0.2687
575,0.2710
576,0.2707
577,0.2749
578,0.2781
579,0.2768
580,0.2854
581,0.2423
582,0.2453
583,0.2662
584,0.2717
585,0.2709
586,0.2711
587,0.2752
588,0.2755
589,0.2839
590,0.2801
591,0.2393
592,0.2428
593,0.2644
594,0.2697
595,0.2768
596,0.2698
597,0.2678
598,0.2677
599,0.2658
600,0.2651
601,0.2356
602,0.2301
603,0.2376
604,0.2404
605,0.2437
606,0.2422
607,0.2399
608,0.2403
609,0.2405
610,0.2390
611,0.2393
612,0.2417
613,0.2598
614,0.2664
615,0.2730
616,0.2709
617,0.2748
618,0.2656
619,0.2658
620,0.2720
621,0.2403
622,0.2410
623,0.2615
624,0.2692
625,0.2742
626,0.2706
627,0.2752
628,0.2799
629,0.2875
630,0.2773
631,0.2412
632,0.4372
633,0.4230
634,0.4219
635,0.4227
636,0.4226
637,0.4229
638,0.4222
639,0.4339
640,0.4230
641,0.4201
642,0.4251
643,0.4228
644,0.4234
645,0.4225
646,0.4235
647,0.4241
648,0.4244
649,0.4241
650,0.4239
651,0.4189
652,0.4215
653,0.4213
654,0.4219
655,0.4228
656,0.4220
657,0.4239
658,0.4219
659,0.4228
660,0.4237
661,0.4193
662,0.4254
663,0.4230
664,0.4230
665,0.4224
666,0.4240
667,0.4222
668,0.4224
669,0.4222
670,0.4224
671,0.4194
672,0.4223
673,0.4229
674,0.4221
675,0.4231
676,0.4228
677,0.4250
678,0.4250
679,0.4230
680,0.4226
681,0.4205
682,0.4231
683,0.4232
684,0.4233
685,0.4243
686,0.4228
687,0.4233
688,0.4229
689,0.4226
690,0.4227
691,0.4190
692,0.4220
693,0.4217
694,0.4216
695,0.4221
696,0.4222
697,0.4222
698,0.4223
699,0.4240
700,0.4225
701,0.4195
702,0.4227
703,0.4215
704,0.4215
705,0.4224
706,0.4224
707,0.4240
708,0.4219
709,0.4223
710,0.4225
711,0.4193
712,0.4235
713,0.4234
714,0.4222
715,0.4228
716,0.4230
717,0.4223
718,0.4234
719,0.4228
720,0.4224
721,0.4205
722,0.4234
723,0.4232
724,0.4225
725,0.4244
726,0.4229
727,0.4236
728,0.4237
729,0.4232
730,0.4227
731,0.4206
732,0.4226
733,0.4250
734,0.4232
735,0.4230
736,0.4232
737,0.4229
738,0.4231
739,0.4231
740,0.4235
741,0.4194
742,0.4225
743,0.4226
744,0.4223
745,0.4224
746,0.4238
747,0.4225
748,0.4239
749,0.4249
750,0.4223
751,0.4195
752,0.4235
753,0.4230
754,0.4223
755,0.4227
756,0.4224
757,0.4224
758,0.4234
759,0.4234
760,0.4226
761,0.4210
762,0.4244
763,0.4226
764,0.4240
765,0.4238
766,0.4236
767,0.4220
768,0.4234
769,0.4247
770,0.4225
771,0.4200
772,0.4225
773,0.4108
774,0.4217
775,0.4226
776,0.4224
777,0.4217
778,0.4217
779,0.4216
780,0.4221
781,0.4199
782,0.4240
783,0.4214
784,0.4222
785,0.4240
786,0.4217
787,0.4226
788,0.4224
789,0.4224
790,0.3259
791,0.3180
792,0.3212
793,0.3209
794,0.3205
795,0.3207
796,0.3215
797,0.3211
798,0.3211
799,0.3211
800,0.3211
801,0.3199
802,0.3217
803,0.3213
804,0.3223
805,0.3217
806,0.3219
807,0.3212
808,0.3227
809,0.3219
810,0.3213
811,0.3194
812,0.3216
813,0.3216
814,0.3219
815,0.3212
816,0.3212
817,0.3220
818,0.3215
819,0.3220
820,0.3241
821,0.3194
822,0.3217
823,0.3216
824,0.3216
825,0.3214
826,0.3219
827,0.3227
828,0.3221
829,0.3218
830,0.3224
831,0.3188
832,0.3210
833,0.3237
834,0.3209
835,0.3226
836,0.3210
837,0.3212
838,0.3207
839,0.3218
840,0.3218
841,0.3194
842,0.3213
843,0.3211
844,0.3213
845,0.3212
846,0.3221
847,0.3211
848,0.3215
849,0.3239
850,0.3213
851,0.3203
852,0.3229
853,0.3233
854,0.3262
855,0.3235
856,0.3232
857,0.3238
858,0.3212
859,0.3231
860,0.3230
861,0.3197
862,0.3217
863,0.3254
864,0.3210
865,0.3214
866,0.3222
867,0.3212
868,0.3227
869,0.3233
870,0.3235
871,0.3194
872,0.3215
873,0.3223
874,0.3211
875,0.3214
876,0.3205
877,0.3211
878,0.3213
879,0.3212
880,0.3210
881,0.3190
882,0.3255
883,0.3214
884,0.3226
885,0.3214
886,0.3213
887,0.3208
888,0.3217
889,0.3238
890,0.3209
891,0.3202
892,0.3214
893,0.3213
894,0.3208
895,0.3210
896,0.3216
897,0.3226
898,0.3207
899,0.3218
900,0.3223
901,0.3196
902,0.3222
903,0.3221
904,0.3218
905,0.3209
906,0.3216
907,0.3222
908,0.3213
909,0.3227
910,0.3212
911,0.3200
912,0.3222
913,0.3216
914,0.3224
915,0.3216
916,0.3213
917,0.3219
918,0.3220
919,0.3217
920,0.3219
921,0.3186
922,0.3231
923,0.3212
924,0.3244
925,0.3208
926,0.3218
927,0.3210
928,0.3232
929,0.3212
930,0.3217
931,0.3195
932,0.3216
933,0.3217
934,0.3217
935,0.3219
936,0.3216
937,0.3214
938,0.3215
939,0.3214
940,0.3221
941,0.3198
942,0.3239
943,0.3211
944,0.3223
945,0.3215
946,0.3249
947,0.3210
948,0.2267
949,0.2214
950,0.2217
951,0.2196
952,0.2205
953,0.2232
954,0.2212
955,0.2217
956,0.2207
957,0.2209
958,0.2204
959,0.2209
960,0.2209
961,0.2190
962,0.2229
963,0.2226
964,0.2209
965,0.2217
966,0.2205
967,0.2213
968,0.2231
969,0.2212
970,0.2211
971,0.2190
972,0.2198
973,0.2210
974,0.2212
975,0.2215
976,0.2212
977,0.2203
978,0.2218
979,0.2203
980,0.2236
981,0.2201
982,0.2206
983,0.2215
984,0.2211
985,0.2210
986,0.2211
987,0.2210
988,0.2214
989,0.2210
990,0.2211
991,0.2200
992,0.2207
993,0.2208
994,0.2224
995,0.2212
996,0.2227
997,0.2230
998,0.2214
999,0.2218
1000,0.2219
1001,0.2189
1002,0.2211
1003,0.2217
1004,0.2232
1005,0.2218
1006,0.2212
1007,0.2234
1008,0.2212
1009,0.2216
1010,0.2217
