Line_Number,Loss
1322,2.4328
1324,2.5105
1326,2.5056
1337,2.6522
1339,2.5534
1341,2.5857
1343,2.4757
1345,2.495
1347,2.412
1349,2.5218
1351,2.5993
1353,2.5341
1355,2.5749
1366,2.471
1368,2.483
1370,2.6602
1372,2.5417
1374,2.4786
1376,2.4327
1378,2.5253
1380,2.5517
1382,2.4387
1384,2.3214
1395,2.3997
1397,2.5269
1399,2.4179
1401,2.7042
1403,3.6464
1405,3.6485
1407,3.6467
1409,3.6136
1411,3.6117
1413,3.6176
1424,3.5689
1426,3.5329
1428,3.4819
1430,3.4918
1432,3.4178
1434,3.3487
1436,3.3457
1438,3.4156
1440,3.3065
1442,3.3472
1453,3.2716
1455,3.1999
1457,3.3329
1459,3.344
1461,3.3103
1463,3.1588
1465,3.1623
1467,3.26
1469,3.1871
1471,3.192
1482,3.2744
1484,3.2001
1486,3.2775
1488,3.0257
1490,3.101
1492,3.0037
1494,2.9371
1496,3.0724
1498,3.1226
1500,2.9142
1511,3.0173
1513,2.9044
1515,2.9635
1517,2.8419
1519,2.9834
1521,2.9697
1523,2.9135
1525,2.964
1527,2.8579
1529,2.8951
1540,2.7857
1542,2.8219
1544,2.7992
1546,2.8599
1548,2.9007
1550,2.7526
1552,2.8288
1554,2.8705
1556,2.8062
1558,2.7863
1569,2.7881
1571,2.8755
1573,2.7451
1575,2.7966
1577,2.7228
1579,2.6789
1581,2.738
1583,2.9159
1585,2.8206
1587,2.8063
1598,2.7435
1600,2.7735
1602,2.7385
1604,2.6848
1606,2.7103
1608,2.6904
1610,2.727
1612,2.7611
1614,2.7991
1616,2.6753
1627,2.644
1629,2.6887
1631,2.6783
1633,2.6951
1635,2.8119
1637,2.7103
1639,2.7162
1641,2.7291
1643,2.6012
1645,2.7196
1656,2.5768
1658,2.5343
1660,2.7201
1662,2.6645
1664,2.6979
1666,2.6819
1668,2.6895
1670,2.8055
1672,2.6245
1674,2.5385
1685,2.6513
1687,2.5739
1689,2.6301
1691,2.5844
1693,2.6794
1695,2.5804
1697,2.7415
1699,2.6417
1701,2.6014
1703,2.5663
1714,2.5891
1716,2.7263
1718,2.5499
1720,2.575
1722,2.656
1724,2.6606
1726,2.6021
1728,2.6789
1730,2.6806
1732,2.6584
1743,2.4868
1745,2.531
1747,2.5983
1749,2.5999
1751,2.6214
1753,2.6021
1755,2.6942
1757,2.5558
1759,2.5171
1761,2.5553
1772,2.6495
1774,2.6743
1776,2.4849
1778,2.5812
1780,2.6257
1782,2.5673
1784,2.6758
1786,2.6444
1788,2.5849
1790,2.5073
1801,2.6187
1803,2.5845
1805,2.6419
1807,2.6761
1809,2.5482
1811,2.5606
1813,2.6105
1815,2.5719
1817,2.6447
1819,2.4671
1830,2.6491
1832,2.4387
1834,2.561
1836,2.5416
1838,2.6205
1840,2.5183
1842,2.4688
1844,2.5226
1846,2.5276
1848,2.7168
1859,2.4864
1861,2.3827
1863,2.5164
1865,2.3983
1867,2.2867
1869,2.241
1871,2.1847
1873,2.2356
1875,2.2404
1877,2.2501
1888,2.1593
1890,2.0971
1892,2.2133
1894,2.168
1896,2.2109
1898,2.2254
1900,2.1914
1902,2.2326
1904,2.1921
1906,2.2562
1917,2.0643
1919,2.311
1921,2.2153
1923,2.2517
1925,2.1562
1927,2.2396
1929,2.2665
1931,2.1851
1933,2.3378
1935,2.2643
1946,2.195
1948,2.1246
1950,2.3512
1952,2.1715
1954,2.1838
1956,2.2724
1958,2.1258
1960,2.1728
1962,2.2038
1964,2.1364
1975,2.2712
1977,2.1303
1979,2.2737
1981,2.2467
1983,2.0891
1985,2.1016
1987,2.1786
1989,2.2669
1991,2.2746
1993,2.3022
2004,2.3662
2006,2.3616
2008,2.2349
2010,2.2166
2012,2.3012
2014,2.1384
2016,2.3782
2018,2.2024
2020,2.2357
2022,2.3223
2033,2.3102
2035,2.2523
2037,2.1872
2039,2.2164
2041,2.2992
2043,2.3574
2045,2.3722
2047,2.2997
2049,2.2047
2051,2.2594
2062,2.2438
2064,2.0928
2066,2.2027
2068,2.2683
2070,2.2652
2072,2.2662
2074,2.2507
2076,2.1745
2078,2.2734
2080,2.2978
2091,2.3443
2093,2.2123
2095,2.3118
2097,2.2398
2099,2.2731
2101,2.2638
2103,2.2383
2105,2.1838
2107,2.1361
2109,2.3645
2120,2.3157
2122,2.1984
2124,2.2823
2126,2.2151
2128,2.224
2130,2.3516
2132,2.2095
2134,2.2902
2136,2.3496
2138,2.2524
2149,2.3244
2151,2.2083
2153,2.2123
2155,2.2543
2157,2.2915
2159,2.2919
2161,2.303
2163,2.3934
2165,2.2116
2167,2.2477
2178,2.3311
2180,2.2966
2182,2.3082
2184,2.2708
2186,2.3053
2188,2.3575
2190,2.264
2192,2.1552
2194,2.335
2196,2.2391
2207,2.3555
2209,2.2945
2211,2.264
2213,2.2411
2215,2.2705
2217,2.1619
2219,2.1843
2221,2.3334
2223,2.3733
2225,2.1846
2236,2.2764
2238,2.1825
2240,2.2107
2242,2.3147
2244,2.2905
2246,2.2525
2248,2.2282
2250,2.291
2252,2.3108
2254,2.2536
2265,2.3106
2267,2.3477
2271,2.2439
2273,2.3316
2275,2.3054
2277,2.3589
2279,2.3862
2281,2.2835
2283,2.2938
2294,2.2565
2296,2.2688
2298,2.3112
2300,2.1904
2302,2.2399
2304,2.2339
2306,2.2121
2308,2.2561
2310,2.2005
2312,2.4352
2323,2.334
2325,2.3685
2327,2.4047
2329,2.3981
2331,2.408
2333,2.3163
2335,2.4452
2337,2.3057
2339,2.3907
2341,2.344
2352,2.3826
2354,2.3356
2356,2.4585
2358,2.4169
2360,2.2814
2362,2.3946
2364,2.4397
2366,2.3126
2368,2.4677
2370,2.4107
2381,2.2795
2383,2.2496
2385,2.3551
2387,2.3118
2389,2.2596
2391,2.3841
2393,2.3116
2395,2.3821
2397,2.2598
2399,2.336
2410,2.4263
2412,2.272
2414,2.3559
2416,2.4282
2418,2.2356
2420,2.2522
2422,2.3781
2424,2.2709
2426,2.3732
2428,2.3824
2439,2.2813
2441,2.4246
2443,2.3422
2445,2.3469
2447,2.3019
2449,2.2751
2451,2.2452
2453,2.317
2455,2.292
2457,2.4181
2468,2.469
2470,2.4684
2472,2.2768
2474,2.3553
2476,2.2533
2478,2.2935
2480,2.3465
2482,2.3279
2484,2.4417
2486,2.2796
2497,2.305
2499,2.4359
2501,2.2717
2503,2.3616
2505,2.2783
2507,2.3494
2509,2.3282
2511,2.3449
2513,2.3418
2515,2.3096
2526,2.341
2528,2.3727
2530,2.3828
2532,2.3501
2534,2.3193
2536,2.2196
2538,2.4136
2540,2.3139
2542,2.2668
2544,2.1772
2555,2.2697
2557,2.4851
2559,2.2926
2561,2.3612
2563,2.3487
2565,2.3462
2567,2.338
2569,2.2952
2571,2.2344
2573,2.4395
2584,2.3778
2586,2.2003
2588,2.3067
2590,2.2937
2592,2.3355
2594,2.3151
2596,2.4287
2598,2.3746
2600,2.3256
2602,2.2605
2613,2.3193
2615,2.2974
2617,2.2734
2619,2.2677
2621,2.2862
2623,2.3218
2625,2.2581
2627,2.3353
2629,2.3004
2631,2.3408
2642,2.2763
2644,2.3588
2646,2.2706
2648,2.3775
2650,2.251
2652,2.394
2654,2.2548
2656,2.3474
2658,2.3926
2660,2.2982
2671,2.3145
2673,2.1965
2675,2.3758
2677,2.2247
2679,2.3651
2681,2.2992
2683,2.3609
2685,2.2953
2687,2.2931
2689,2.2568
2700,2.3006
2702,2.3296
2704,2.2593
2706,2.3216
2708,2.2318
2710,2.3116
2712,2.3128
2714,2.2978
2716,2.3323
2718,2.3893
2729,2.176
2731,2.2087
2733,2.3026
2735,2.3493
2737,2.2251
2739,2.3541
2741,2.3235
2743,2.2764
2745,2.3011
2747,2.272
2758,2.2883
2760,2.2993
2762,2.3086
2764,2.2603
2766,2.3664
2768,2.3348
2770,2.2679
2772,2.3665
2774,2.4452
2776,2.4103
2787,2.3121
2789,2.4165
2791,2.3874
2793,2.4924
2795,2.4099
2797,2.4875
2799,2.3246
2801,2.4355
2803,2.4769
2805,2.3929
2816,2.3698
2818,2.208
2820,2.3363
2822,2.3975
2824,2.3329
2826,2.3175
2828,2.2613
2830,2.3307
2832,2.3124
2834,2.4108
2845,2.4411
2847,2.337
2849,2.3615
2851,2.4462
2853,2.2415
2855,2.2646
2857,2.4057
2859,2.3659
2861,2.2554
2863,2.3127
2874,2.2878
2876,2.4335
2878,2.2255
2880,2.3091
2882,2.3257
2884,2.3969
2886,2.196
2888,2.3655
2890,2.3665
2892,2.3373
2903,2.3869
2905,2.4313
2907,2.2935
2909,2.2806
2911,2.4497
2913,2.4434
2915,2.3109
2917,2.2898
2919,2.4226
2921,2.3386
2932,2.4263
2934,2.3291
2936,2.4302
2938,2.3537
2940,2.3118
2942,2.3742
2944,2.3136
2946,2.2308
2948,2.2998
2950,2.382
2961,2.4264
2963,2.4564
2965,2.3895
2967,2.4187
2969,2.3452
2971,2.311
2973,2.3818
2975,2.4198
2977,2.331
2979,2.3953
2990,2.3679
2992,2.4261
2994,2.4366
2996,2.3181
2998,2.3212
3000,2.2691
3002,2.3281
3004,2.2789
3006,2.2743
3008,2.3485
3019,2.3385
3021,2.3154
3023,2.3435
3025,2.3447
3027,2.3707
3029,2.218
3031,2.4445
3033,2.3716
3035,2.2345
3037,2.43
3048,2.3046
3050,2.3296
3052,2.3579
3054,2.3108
3056,2.2961
3058,2.2695
3060,2.3138
3062,2.2541
3064,2.2188
3066,2.3241
3077,2.2923
3079,2.2248
3081,2.4138
3083,2.2722
3085,2.3416
3087,2.3087
3089,2.2649
3091,2.2805
3093,2.3148
3095,2.3141
3106,2.4032
3108,2.3939
3110,2.2991
3112,2.3235
3114,2.429
3116,2.2902
3118,2.2378
3120,2.3088
3122,2.4027
3124,2.2599
3135,2.1889
3137,2.3145
3139,2.3525
3141,2.2963
3143,2.3628
3145,2.2311
3147,2.3328
3149,2.2687
3151,2.204
3153,2.3218
3164,2.2397
3166,2.4201
3168,2.3437
3170,2.4484
3172,2.2562
3174,2.2665
3176,2.2959
3178,2.2549
3180,2.3556
3182,2.3334
3193,2.3053
3195,2.3484
3197,2.2518
3199,2.3956
3201,2.3122
3203,2.3261
3205,2.3362
3207,2.2904
3209,2.4073
3211,2.3089
3222,2.2391
3224,2.154
3226,2.2724
3228,2.2572
3230,2.2435
3232,2.5648
3234,2.7146
3236,2.7863
3238,2.774
3240,2.6959
3251,2.8009
3253,2.7646
3255,2.6678
3257,2.5865
3259,2.7088
3261,2.5377
3263,2.5604
3265,2.5519
3267,2.7071
3269,2.4838
3280,2.5675
3282,2.6057
3284,2.5019
3286,2.5013
3288,2.6886
3290,2.5805
3292,2.4487
3294,2.4884
3296,2.4491
3298,2.518
3309,2.4814
3311,2.6392
3313,2.5528
3315,2.5623
3317,2.5092
3319,2.4545
3321,2.4758
3323,2.3794
3325,2.516
3327,2.4593
3338,2.4933
3340,2.4954
3342,2.4167
3344,2.4681
3346,2.423
3348,2.3255
3350,2.4906
3352,2.544
3354,2.458
3356,2.541
3367,2.4656
3369,2.3575
3371,2.4405
3373,2.4055
3375,2.5372
3377,2.4678
3379,2.5004
3381,2.3615
3383,2.4881
3385,2.447
3396,2.3985
3398,2.5103
3400,2.4265
3402,2.4792
3404,2.4229
3406,2.4572
3408,2.2969
3410,2.3336
3412,2.5398
3414,2.5065
3425,2.4518
3427,2.5218
3429,2.4492
3431,2.3921
3433,2.3073
3435,2.4629
3437,2.4214
3439,2.484
3441,2.4328
3443,2.4018
3454,2.5114
3456,2.3843
3458,2.4115
3460,2.4549
3462,2.4661
3464,2.4475
3466,2.5271
3468,2.4879
3470,2.444
3472,2.4108
3483,2.4064
3485,2.3886
3487,2.3755
3489,2.3695
3491,2.4491
3493,2.46
3495,2.4203
3497,2.3652
3499,2.5426
3501,2.4437
3512,2.393
3514,2.409
3516,2.3958
3518,2.4898
3520,2.3213
3522,2.4294
3524,2.4761
3526,2.4052
3528,2.5875
3530,2.4382
3541,2.3228
3543,2.4428
3545,2.4289
3547,2.4112
3549,2.3597
3551,2.4413
3553,2.4623
3555,2.402
3557,2.5136
3559,2.4574
3570,2.4363
3572,2.3967
3574,2.4007
3576,2.4757
3578,2.3681
3580,2.4685
3582,2.4145
3584,2.4951
3586,2.3814
3588,2.3165
3599,2.3395
3601,2.4819
3603,2.4469
3605,2.3715
3607,2.2825
3609,2.4601
3611,2.3248
3613,2.4288
3615,2.45
3617,2.484
3628,2.3574
3630,2.3749
3632,2.3767
3634,2.4104
3636,2.4763
3638,2.3531
3640,2.3695
3642,2.418
3644,2.4334
3646,2.4163
3657,2.4299
3659,2.3216
3661,2.3949
3663,2.3754
3665,2.4409
3667,2.3793
3669,2.3569
3671,2.3414
3673,2.3141
3675,2.3797
3686,2.3396
3688,2.4582
3690,2.3356
3692,2.2312
3694,2.1382
3696,2.1835
3698,2.1201
3700,2.0773
3702,2.1011
3704,2.1323
3715,2.0742
3717,2.0755
3719,2.0301
3721,2.042
3723,2.0967
3725,2.094
3727,2.0389
3729,2.0804
3731,2.0406
3733,2.0861
3744,2.1095
3746,2.0708
3748,2.0618
3750,2.1794
3752,2.0673
3754,2.0204
3756,2.0828
3758,2.0922
3760,2.0899
3762,2.1068
3773,2.1236
3775,2.0761
3777,1.9931
3779,2.0737
3781,2.161
3783,2.0673
3785,2.0502
3787,2.0164
3789,2.0178
3791,2.0856
3802,2.0056
3804,2.1591
3806,2.0555
3808,2.1057
3810,2.1348
3812,2.0539
3814,1.9427
3816,2.0246
3818,2.1183
3820,2.0544
3831,2.0854
3833,2.2057
3835,2.1897
3837,2.2509
3839,2.0374
3841,2.1141
3843,2.0884
3845,2.1748
3847,2.1455
3849,2.1007
3860,2.1806
3862,2.1801
3864,2.2038
3866,2.1236
3868,2.1082
3870,2.1248
3872,2.2128
3874,2.224
3876,2.1121
3878,2.2028
3889,2.1315
3891,2.1063
3893,2.0933
3895,2.0432
3897,2.2106
3899,2.0903
3901,2.0758
3903,2.1241
3905,2.1022
3907,2.111
3918,2.1277
3920,2.1879
3922,2.1266
3924,2.1666
3926,2.1906
3928,2.0825
3930,2.1752
3932,2.1159
3934,2.0348
3936,2.1087
3947,2.0599
3949,2.2185
3951,2.167
3953,2.0664
3955,2.1535
3957,2.1325
3959,2.1531
3961,2.1695
3963,2.0816
3965,2.1915
3976,2.1514
3978,2.0836
3980,2.219
3982,2.1059
3984,2.1009
3986,2.131
3988,2.2124
3990,2.134
3992,2.2626
3994,2.1657
4005,2.1228
4007,2.198
4009,2.1437
4011,2.198
