,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
1549,GPU 3,0.0,,0,0,,,0.0,,24270414.0
1557,GPU 3,0.0,,0,0,,,0.0,,5776876.0
1565,GPU 3,0.0,0.0,0,0,0.0,,0.0,7286431.0,7255159.0
1571,GPU 3,0.0,,0,0,,0.0,,,7255159.0
1575,GPU 3,0.0,,0,0,,0.0,,,7255159.0
1579,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,7582572.0,6868121.0
1583,GPU 3,0.0,0.0,0,0,0.0,,0.0,2283713.0,1767532.0
1591,GPU 3,0.0,0.0,0,0,,,0.0,5984800.0,5432196.0
1599,GPU 3,0.0,0.0,0,0,,,0.0,7955580.0,7247955.0
1607,GPU 3,0.0,0.0,0,0,0.0,,0.0,7226753.0,6668844.0
1611,GPU 3,0.0,,0,0,,,0.0,,6668844.0
1615,GPU 3,0.0,0.0,0,0,0.0,0.0,,6725086.0,6141203.0
1623,GPU 3,0.0,0.0,0,0,0.0,0.0,,5123058.0,4508083.0
1633,GPU 3,0.0,0.0,0,0,0.0,0.0,,6429515.0,6247006.0
1641,GPU 3,0.0,,0,0,,,,,4483803.0
1649,GPU 3,0.0,,0,0,,,,,3450722.0
1657,GPU 3,0.0,,0,0,,,,,5834399.0
1665,GPU 3,0.0,0.0,0,0,0.0,,0.0,6523611.0,6033427.0
1669,GPU 3,0.0,,0,0,,0.0,,,4791617.0
1677,GPU 3,0.0,,0,0,,0.0,,,3743463.0
1687,GPU 3,0.0,,0,0,,,,,4838445.0
1695,GPU 3,0.0,,0,0,,,,,4228770.0
1699,GPU 3,0.0,0.0,0,0,0.0,0.0,,4671983.0,4228770.0
1703,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,4290619.0,4019523.0
1711,GPU 3,0.004,0.003,1,0,0.004,0.0,0.0,1063118.0,2209618.0
1715,GPU 3,0.004,,1,0,,,,,
1719,GPU 3,0.004,,1,0,,,0.0,,5396143.0
1723,GPU 3,0.0,,1,0,,,,,
1735,GPU 3,0.0,,0,0,,,0.0,,3087047.0
1745,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,1272142.0,1178295.0
1749,GPU 3,0.0,0.0,0,0,,,0.0,1146921.0,954029.0
1753,GPU 3,0.0,,0,0,,,,,3764419.0
1761,GPU 3,0.0,,0,0,,,,,8170070.0
1765,GPU 3,0.0,0.0,0,0,0.0,0.0,0.0,9306685.0,8170070.0
1773,GPU 3,0.0,0.0,33,0,0.0,0.0,0.0,16375845.0,14091449.0
1777,GPU 3,0.0,,33,8,,,,,
1781,GPU 3,0.475,0.266,33,8,0.105,0.0,0.0,9484466.0,69113757.0
1785,GPU 3,0.475,,33,8,,,,,
1789,GPU 3,0.709,0.404,88,23,0.189,0.0,0.0,18479399.0,147028120.0
1793,GPU 3,0.709,0.404,88,23,,,0.0,18479399.0,
1797,GPU 3,0.776,,88,23,0.173,0.0,,,115814753.0
1803,GPU 3,0.776,0.442,88,23,,,0.0,17196499.0,
1807,GPU 3,0.754,,91,24,0.17,0.0,,,118344066.0
1811,GPU 3,0.749,0.415,91,24,0.17,0.0,0.0,16364022.0,163936295.0
1815,GPU 3,0.749,0.422,91,24,0.195,0.0,0.0,19830458.0,
1819,GPU 3,0.743,0.419,91,22,0.168,,0.0,27836764.0,129156963.0
1823,GPU 3,0.743,,93,22,,0.0,,,
1827,GPU 3,0.751,0.42,93,22,0.168,,0.0,29718657.0,130704841.0
1831,GPU 3,0.751,,93,22,,0.0,0.0,,130704841.0
1835,GPU 3,0.746,,93,23,,0.0,0.0,,170757178.0
1839,GPU 3,0.746,,92,23,0.196,0.0,,,
1843,GPU 3,0.741,0.409,92,23,0.169,,0.0,23319122.0,124491843.0
1847,GPU 3,0.741,,92,23,,,,,
1851,GPU 3,0.782,0.444,93,24,0.174,0.0,0.0,25234603.0,125256722.0
1855,GPU 3,0.782,,93,24,,,,,
1861,GPU 3,0.736,0.416,93,24,0.193,0.0,0.0,38375865.0,188776620.0
1865,GPU 3,0.736,,93,24,,,,,
1869,GPU 3,0.871,0.496,74,22,0.214,31217.0,770961387.0,15473650.0,61509583.0
1873,GPU 3,0.871,,74,22,,,,,
1877,GPU 3,0.612,0.359,74,22,0.153,,341182471.0,13124004.0,21854252.0
1881,GPU 3,0.612,,74,22,,20819.0,,,
1885,GPU 3,0.755,0.44,65,20,0.189,,430131300.0,6948515.0,27580660.0
1889,GPU 3,0.755,,65,20,,0.0,,,
1893,GPU 3,0.484,0.281,65,20,0.121,,0.0,12827868.0,22572464.0
1897,GPU 3,0.484,,65,20,,0.0,,,
1901,GPU 3,0.259,0.148,70,19,0.069,,0.0,4250106.0,16480217.0
1905,GPU 3,0.259,,70,19,,0.0,,,
1909,GPU 3,0.776,0.435,70,19,0.214,,0.0,6214729.0,22615578.0
1913,GPU 3,0.776,,70,19,,0.0,,,
1919,GPU 3,0.78,0.441,100,28,0.214,,0.0,6432134.0,22803894.0
1923,GPU 3,0.78,,100,28,,0.0,,,
1927,GPU 3,0.78,0.451,100,28,0.217,0.0,0.0,6275656.0,22766165.0
1931,GPU 3,0.792,,100,28,,,,,
1935,GPU 3,0.792,0.446,97,27,0.217,0.0,0.0,11847914.0,29073199.0
1939,GPU 3,0.774,,97,27,,,,,
1943,GPU 3,0.774,0.434,97,27,0.213,0.0,0.0,15846472.0,32316411.0
1947,GPU 3,0.015,0.009,0,0,,,0.0,12783992.0,11850740.0
1955,GPU 3,0.0,0.0,0,0,,,0.0,8512497.0,7553929.0
1963,GPU 3,0.404,0.228,81,22,,,36428.0,9299617.0,18937496.0
1967,GPU 3,0.404,,81,22,0.11,771129253.0,,,
1971,GPU 3,0.769,0.429,81,22,,,0.0,6254318.0,23987883.0
1977,GPU 3,0.769,,81,22,0.213,0.0,,,
1981,GPU 3,0.79,0.446,100,27,,,0.0,6180503.0,24529362.0
1985,GPU 3,0.79,0.446,100,27,0.216,0.0,0.0,,24529362.0
1989,GPU 3,0.79,0.439,100,27,0.216,0.0,0.0,,24529362.0
1993,GPU 3,0.785,,100,27,0.216,0.0,0.0,6115295.0,24055229.0
1997,GPU 3,0.785,0.428,100,27,,,,,
2001,GPU 3,0.766,,100,25,0.212,0.0,0.0,5930947.0,23619646.0
2005,GPU 3,0.766,0.387,100,25,,,,,
2009,GPU 3,0.689,,100,25,0.18,341138779.0,0.0,19338224.0,47343514.0
2013,GPU 3,0.689,0.201,100,10,,,,,
2017,GPU 3,0.386,,100,10,0.072,0.0,,40006737.0,97870669.0
2021,GPU 3,0.386,0.207,100,10,,,0.0,,
2025,GPU 3,0.391,,100,10,0.078,0.0,,42899838.0,106588396.0
2029,GPU 3,0.391,0.26,94,19,,,15599.0,,
2035,GPU 3,0.495,,94,19,0.105,429722149.0,,38885541.0,117795421.0
2039,GPU 3,0.495,0.413,94,19,,,0.0,,
2043,GPU 3,0.714,,94,19,0.189,0.0,0.0,112713924.0,1359813291.0
2047,GPU 3,0.714,0.384,97,14,,,,,
2051,GPU 3,0.686,,97,14,0.149,0.0,,114338528.0,1056686465.0
2055,GPU 3,0.686,0.196,97,14,,,0.0,,
2059,GPU 3,0.397,,97,14,,0.0,,,101195960.0
2063,GPU 3,0.397,0.211,100,10,0.073,,0.0,37950612.0,
2067,GPU 3,0.387,,100,10,,0.0,,,85066026.0
2071,GPU 3,0.387,0.192,100,10,0.075,,0.0,29281013.0,
2075,GPU 3,0.385,,100,10,,0.0,,,83178901.0
2079,GPU 3,0.385,,100,10,,0.0,,,83178901.0
2083,GPU 3,0.423,0.225,100,12,0.082,0.0,0.0,51249289.0,109491852.0
2087,GPU 3,0.361,0.202,100,12,0.099,0.0,0.0,46147624.0,205808096.0
2093,GPU 3,0.361,,100,12,,,,,
2097,GPU 3,0.429,0.221,100,6,0.081,0.0,0.0,56577667.0,114196898.0
2101,GPU 3,0.429,,100,6,,,,,
2105,GPU 3,0.191,0.082,100,6,0.026,0.0,0.0,11793537.0,30181871.0
2109,GPU 3,0.191,,100,6,,,,,
2113,GPU 3,0.102,0.032,100,0,0.0,0.0,0.0,2033626.0,1517398.0
2117,GPU 3,0.102,,100,0,,,,,
2121,GPU 3,0.103,0.032,100,0,0.0,0.0,0.0,3730533.0,2928546.0
2125,GPU 3,0.103,,100,0,,,,,
2129,GPU 3,0.103,0.032,100,0,0.0,0.0,0.0,1663074.0,1084387.0
2133,GPU 3,0.103,,100,0,,,,,
2137,GPU 3,0.103,0.032,100,0,0.0,0.0,0.0,1256710.0,782185.0
2141,GPU 3,0.103,,100,0,,,,,
2145,GPU 3,0.103,0.032,100,0,0.0,0.0,0.0,2304455.0,1803940.0
2151,GPU 3,0.103,,100,0,,,,,
2155,GPU 3,0.103,0.032,100,0,0.0,0.0,0.0,2069792.0,1569288.0
2159,GPU 3,0.103,0.032,100,0,0.0,0.0,0.0,1308627.0,839398.0
2163,GPU 3,0.103,,100,0,,,,,
2167,GPU 3,0.103,0.032,100,0,0.0,0.0,0.0,1167920.0,688239.0
2171,GPU 3,0.103,,100,0,,,,,
2175,GPU 3,0.103,0.032,100,0,0.0,0.0,0.0,1178301.0,698638.0
2179,GPU 3,0.103,,100,0,,,,,
2183,GPU 3,0.103,0.032,100,0,0.0,0.0,0.0,3596927.0,2846264.0
2187,GPU 3,0.103,,100,0,,,,,
2191,GPU 3,0.103,0.032,100,0,0.0,0.0,0.0,1173090.0,693426.0
2195,GPU 3,0.103,,100,0,,,,,
2199,GPU 3,0.103,0.032,100,0,0.0,0.0,0.0,1221033.0,745903.0
2203,GPU 3,0.103,,100,0,,,,,
2209,GPU 3,0.103,0.032,100,0,0.0,0.0,0.0,1267156.0,688332.0
2213,GPU 3,0.103,,100,0,,,,,
2217,GPU 3,0.198,0.094,100,0,0.024,0.0,0.0,12526563.0,
2221,GPU 3,0.198,,100,0,,,,,27040813.0
2225,GPU 3,0.423,0.22,100,8,0.083,26021.0,771140094.0,43814304.0,
2229,GPU 3,0.423,,100,8,,,,,101914186.0
2233,GPU 3,0.922,0.535,100,8,0.23,0.0,0.0,41800831.0,
2237,GPU 3,0.922,0.535,100,8,0.23,0.0,0.0,41800831.0,90081806.0
2241,GPU 3,0.685,,86,26,,,,,
2245,GPU 3,0.685,0.399,86,26,0.171,31176.0,769941621.0,14419063.0,28729009.0
2249,GPU 3,0.981,,86,26,,,,,
2253,GPU 3,0.981,0.572,86,26,0.245,0.0,0.0,8068825.0,27814022.0
2257,GPU 3,0.602,,88,26,,,,,
2261,GPU 3,0.602,0.341,88,26,0.163,0.0,0.0,12830449.0,26207207.0
2267,GPU 3,0.777,,88,26,,,,,
2271,GPU 3,0.777,0.435,88,26,0.213,0.0,0.0,5989694.0,22298732.0
2275,GPU 3,0.788,,100,28,,0.0,,,
2279,GPU 3,0.788,0.447,100,28,0.213,,0.0,6504964.0,22718524.0
2283,GPU 3,0.788,,100,28,,,,,22718524.0
2287,GPU 3,0.797,0.452,100,28,0.217,0.0,0.0,6788534.0,23211065.0
2291,GPU 3,0.789,0.445,100,28,0.217,0.0,0.0,6793824.0,24974848.0
2295,GPU 3,0.789,,100,28,,,,,
2299,GPU 3,0.765,0.428,100,28,0.211,771753925.0,20833.0,6239615.0,24244914.0
2303,GPU 3,0.765,,100,28,,,,,
2307,GPU 3,0.784,0.442,100,28,0.215,0.0,0.0,5818614.0,24075947.0
2311,GPU 3,0.784,,100,28,,,,,
2315,GPU 3,0.793,0.446,100,28,0.217,0.0,0.0,5813106.0,23856116.0
2319,GPU 3,0.793,,100,28,,,,,
2325,GPU 3,0.768,0.428,100,27,0.212,0.0,0.0,5725968.0,23440032.0
2329,GPU 3,0.768,,100,27,,,,,
2333,GPU 3,0.785,0.442,100,27,0.214,0.0,0.0,5765629.0,23811843.0
2337,GPU 3,0.785,,100,27,,,,,
2341,GPU 3,0.738,0.415,100,26,0.2,770999093.0,26015.0,14901650.0,38185478.0
2345,GPU 3,0.738,0.415,100,26,0.2,,26015.0,14901650.0,
2349,GPU 3,0.671,,100,26,,,,,2233489577.0
2353,GPU 3,0.671,0.375,100,26,0.149,0.0,0.0,189822117.0,2233489577.0
2357,GPU 3,0.419,0.375,100,14,0.149,0.0,0.0,189822117.0,89056836.0
2361,GPU 3,0.365,0.212,97,14,0.081,0.0,0.0,32900309.0,
2365,GPU 3,0.42,0.209,100,12,0.099,0.0,0.0,47082239.0,167085484.0
2369,GPU 3,0.382,0.213,100,12,0.081,0.0,0.0,47137137.0,103316696.0
2373,GPU 3,0.382,0.21,100,12,0.073,0.0,0.0,40533319.0,90381232.0
2377,GPU 3,0.382,,100,9,,,,,
2383,GPU 3,0.363,,100,9,,,,,
2387,GPU 3,0.363,0.175,100,9,0.071,,0.0,36369860.0,89943160.0
2391,GPU 3,0.103,,100,9,,0.0,,,
2395,GPU 3,0.103,0.032,100,0,0.0,,0.0,1225201.0,912384.0
2399,GPU 3,0.103,,100,0,,,,,
2403,GPU 3,0.103,,100,0,,,,,
2407,GPU 3,0.103,0.032,100,0,0.0,,0.0,1011472.0,750783.0
2411,GPU 3,0.103,,100,0,,0.0,,,
2415,GPU 3,0.103,0.032,100,0,,,0.0,2481872.0,2017824.0
2419,GPU 3,0.103,0.032,100,0,0.0,0.0,,1402689.0,
2423,GPU 3,0.103,,100,0,,,0.0,,902101.0
2427,GPU 3,0.103,,100,0,,,,,
2431,GPU 3,0.103,0.032,100,0,0.0,0.0,0.0,1209609.0,729936.0
2435,GPU 3,0.103,0.032,100,0,0.0,0.0,0.0,2382166.0,1803565.0
2441,GPU 3,0.103,,100,0,,,,,
2445,GPU 3,0.103,0.032,100,0,0.0,,0.0,4009294.0,3305452.0
2449,GPU 3,0.103,,100,0,,0.0,,,
2453,GPU 3,0.103,0.032,100,0,0.0,,0.0,1444468.0,1001220.0
2457,GPU 3,0.103,,100,0,,0.0,,,
2461,GPU 3,0.103,0.032,100,0,0.0,,0.0,1193952.0,714285.0
2465,GPU 3,0.103,,100,0,,0.0,,,
2469,GPU 3,0.103,0.032,100,0,0.0,,0.0,1199196.0,719517.0
2473,GPU 3,0.103,,100,0,,0.0,,,
2477,GPU 3,0.103,0.032,100,0,0.0,,0.0,1188750.0,709079.0
2481,GPU 3,0.103,,100,0,,0.0,,,
2485,GPU 3,0.103,0.032,100,0,0.0,,0.0,1183135.0,708838.0
2489,GPU 3,0.103,,100,5,,0.0,,,
2493,GPU 3,0.385,0.21,100,5,0.072,,0.0,39910246.0,87230760.0
2499,GPU 3,0.385,,100,5,,20794.0,,,
2503,GPU 3,0.696,0.383,100,5,0.164,,770317354.0,55344238.0,120134323.0
2507,GPU 3,0.696,,89,24,,0.0,,,
2511,GPU 3,0.868,0.508,89,24,0.217,,340525715.0,13285589.0,22830223.0
2515,GPU 3,0.868,,89,24,,,,,
2519,GPU 3,0.868,,89,24,,,,,
2523,GPU 3,0.8,0.466,71,22,0.2,25992.0,429597683.0,6076956.0,30452362.0
2527,GPU 3,0.549,0.319,71,22,0.139,0.0,0.0,12660623.0,23481401.0
2531,GPU 3,0.549,,71,22,,,,,
2535,GPU 3,0.585,0.333,91,25,0.16,0.0,0.0,4494143.0,17378396.0
2539,GPU 3,0.585,,91,25,,,,,
2543,GPU 3,0.78,0.437,91,25,0.214,0.0,0.0,7548105.0,23756778.0
2547,GPU 3,0.78,,91,25,,,,,
2551,GPU 3,0.777,0.437,100,28,0.213,0.0,0.0,6474101.0,
2557,GPU 3,0.777,,100,28,,,,,22495810.0
2561,GPU 3,0.797,0.451,100,28,0.216,0.0,0.0,5782410.0,
2565,GPU 3,0.797,,100,28,,,,,
2569,GPU 3,0.799,0.453,100,28,0.218,0.0,0.0,6924965.0,25330930.0
2573,GPU 3,0.799,,100,27,,,,,
2577,GPU 3,0.766,0.429,100,27,0.211,771359814.0,26028.0,6658135.0,24789711.0
2581,GPU 3,0.766,,100,27,,,,,
2585,GPU 3,0.773,0.433,100,27,0.213,0.0,0.0,10557626.0,28117230.0
2589,GPU 3,0.773,,100,27,,,,,
2593,GPU 3,0.794,0.448,100,27,0.217,0.0,0.0,6125909.0,24124019.0
2597,GPU 3,0.794,,100,27,,,,,
2601,GPU 3,0.776,0.433,100,28,0.214,0.0,0.0,5619705.0,
2605,GPU 3,0.776,,100,28,,,,,26554379.0
2609,GPU 3,0.777,0.435,100,28,0.213,0.0,0.0,9011101.0,
2615,GPU 3,0.777,,100,28,,,,,1023180827.0
2619,GPU 3,0.747,0.427,97,21,0.195,771621753.0,31243.0,76755485.0,
2623,GPU 3,0.747,,97,21,,,,,1290994458.0
2627,GPU 3,0.566,0.316,97,21,0.151,0.0,0.0,127885824.0,1290994458.0
2631,GPU 3,0.566,,97,21,,,,,
2635,GPU 3,0.427,0.223,100,21,0.082,0.0,0.0,52029427.0,106688444.0
2639,GPU 3,0.427,,100,10,,,,,
2643,GPU 3,0.4,0.217,100,10,0.078,0.0,0.0,36983987.0,84079603.0
2647,GPU 3,0.4,,100,10,,,,,
2651,GPU 3,0.401,0.197,100,10,0.079,0.0,0.0,46081086.0,102413406.0
2655,GPU 3,0.401,,100,10,,,,,
2659,GPU 3,0.386,0.212,100,10,0.073,0.0,0.0,39938546.0,
