#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 3     N/A          N/A          93                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          93                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          90                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          92                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          93                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          93                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          92                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          93                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     0.761        0.429        93                22                0.168        0                           0                           16764619                    109032502                   
GPU 2     N/A          N/A          93                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          92                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     0.764        0.413        93                22                0.172        511656646                   0                           14547381                    110195763                   
GPU 3     N/A          N/A          93                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.727        0.414        93                22                0.192        8461858508                  8461796040                  14273903                    104279664                   
GPU 1     0.769        0.444        92                23                0.190        5204                        0                           14368547                    106543739                   
GPU 0     N/A          N/A          93                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     0.732        0.418        90                23                0.193        8463684440                  8463694854                  14849729                    105994368                   
GPU 2     N/A          N/A          93                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          92                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     0.746        0.426        93                22                0.188        7869262316                  8375886382                  14056716                    102921136                   
GPU 3     N/A          N/A          90                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.791        0.426        93                23                0.172        0                           0                           14929588                    111909446                   
GPU 1     0.772        0.425        94                22                0.170        0                           0                           15039541                    112013085                   
GPU 0     N/A          N/A          93                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     0.736        0.398        90                23                0.160        0                           0                           14046765                    104574990                   
GPU 2     N/A          N/A          93                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          94                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     0.777        0.432        93                23                0.172        0                           0                           14951617                    110653421                   
GPU 3     N/A          N/A          90                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.766        0.428        93                23                0.169        0                           0                           15144821                    109059374                   
GPU 1     0.752        0.407        94                22                0.170        1023328260                  511679744                   14531683                    107275264                   
GPU 0     N/A          N/A          93                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     0.699        0.383        89                23                0.154        0                           0                           13822362                    101672661                   
GPU 2     N/A          N/A          93                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          94                22                N/A          N/A                         N/A                         N/A                         N/A                         
