,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
1114,GPU 0,0.773,0.418,91,21,0.171,0.0,,,120243437.0
1118,GPU 0,0.702,,91,21,,,,,
1122,GPU 0,0.702,,91,21,,,,,
1126,GPU 0,0.702,,91,21,,,0.0,21624490.0,
1130,GPU 0,0.766,0.446,93,24,0.199,0.0,,,153138494.0
1134,GPU 0,0.766,,93,24,,,0.0,15060388.0,
1138,GPU 0,0.766,0.423,93,24,0.17,0.0,,,114912895.0
1142,GPU 0,0.766,,93,24,,,0.0,16705634.0,
1146,GPU 0,0.771,0.42,93,24,0.176,0.0,,,123868451.0
1150,GPU 0,0.742,,93,24,,,0.0,18829634.0,
1154,GPU 0,0.742,0.432,93,24,0.196,0.0,,,167904952.0
1158,GPU 0,0.765,,92,22,,,0.0,18003189.0,
1162,GPU 0,0.765,0.427,92,22,0.169,0.0,,,115670882.0
1168,GPU 0,0.775,,92,22,,,0.0,22562753.0,
1172,GPU 0,0.775,0.42,92,22,0.175,0.0,,,127130233.0
1176,GPU 0,0.728,,92,23,,,0.0,18628920.0,
1180,GPU 0,0.728,0.42,92,23,0.195,0.0,,,151144026.0
1184,GPU 0,0.771,,92,23,,,0.0,15944327.0,
1188,GPU 0,0.771,0.437,92,23,0.17,0.0,,,112218537.0
1192,GPU 0,0.77,,92,24,,,0.0,16413699.0,
1196,GPU 0,0.77,0.418,92,24,0.173,0.0,,,121562337.0
1200,GPU 0,0.73,,92,24,,,0.0,20387345.0,
1204,GPU 0,0.73,0.416,92,24,0.195,0.0,,,172050450.0
1208,GPU 0,0.793,,94,22,,,0.0,15612230.0,
1212,GPU 0,0.793,0.453,94,22,0.175,0.0,,,112347654.0
1216,GPU 0,0.755,,94,22,,,0.0,16714497.0,
1220,GPU 0,0.755,0.411,94,22,0.17,0.0,,,120268431.0
1226,GPU 0,0.748,,92,23,,,0.0,16753716.0,
1230,GPU 0,0.748,0.42,92,23,0.19,0.0,,,121923752.0
1234,GPU 0,0.765,,92,23,,,0.0,18583703.0,
1238,GPU 0,0.765,0.437,92,23,0.179,0.0,,,147248121.0
