,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
16,GPU 0,0.771,0.419,91.0,23.0,0.173,0.0,0.0,16032271.0,121208339.0
24,GPU 0,0.738,0.418,93.0,24.0,0.195,0.0,0.0,18775215.0,161359599.0
32,GPU 0,0.778,0.443,93.0,24.0,0.173,0.0,0.0,16093766.0,114689533.0
40,GPU 0,0.751,0.413,93.0,22.0,0.169,0.0,0.0,15793555.0,117755048.0
48,GPU 0,0.758,0.427,93.0,22.0,0.197,0.0,0.0,19216922.0,169051785.0
56,GPU 0,0.75,0.424,92.0,23.0,0.17,0.0,0.0,16115242.0,116113056.0
66,GPU 0,0.755,0.421,92.0,23.0,0.169,0.0,0.0,15583462.0,115735331.0
74,GPU 0,0.752,0.424,92.0,23.0,0.196,0.0,0.0,18100611.0,153805743.0
82,GPU 0,0.744,0.413,92.0,23.0,0.168,0.0,0.0,16595769.0,117263237.0
148,GPU 0,0.736,0.427,90.0,21.0,0.194,0.0,0.0,18189412.0,158663958.0
156,GPU 0,0.749,0.415,90.0,23.0,0.166,0.0,0.0,15260725.0,112323311.0
164,GPU 0,0.762,0.413,90.0,23.0,0.171,0.0,0.0,16155999.0,120102992.0
172,GPU 0,0.716,0.415,91.0,23.0,0.193,0.0,0.0,17700618.0,147243118.0
182,GPU 0,0.759,0.43,91.0,22.0,0.168,0.0,0.0,15027391.0,110037774.0
190,GPU 0,0.762,0.414,92.0,22.0,0.171,0.0,0.0,15893178.0,119105227.0
198,GPU 0,0.729,0.413,89.0,23.0,0.189,0.0,0.0,18604327.0,122211725.0
222,GPU 0,0.764,0.416,92.0,22.0,0.173,0.0,0.0,16826192.0,119647140.0
230,GPU 0,0.73,0.424,92.0,22.0,0.193,0.0,0.0,17199702.0,141805114.0
240,GPU 0,0.765,0.43,92.0,23.0,0.171,0.0,0.0,15618277.0,115340979.0
248,GPU 0,0.772,0.419,93.0,23.0,0.174,0.0,0.0,17079812.0,122264811.0
256,GPU 0,0.736,0.422,93.0,24.0,0.194,0.0,0.0,19308799.0,172811149.0
264,GPU 0,0.772,0.44,94.0,22.0,0.172,0.0,0.0,15452491.0,113439219.0
272,GPU 0,0.772,0.419,94.0,22.0,0.174,0.0,0.0,18591576.0,123640486.0
280,GPU 0,0.739,0.419,92.0,23.0,0.195,0.0,0.0,21358398.0,155505591.0
288,GPU 0,0.785,0.447,92.0,23.0,0.175,0.0,0.0,18779404.0,117183901.0
298,GPU 0,0.747,0.41,92.0,23.0,0.169,0.0,0.0,15567379.0,116833439.0
306,GPU 0,0.755,0.425,92.0,23.0,0.197,0.0,0.0,21769524.0,164580309.0
314,GPU 0,0.751,0.425,93.0,22.0,0.17,0.0,0.0,21569615.0,121066822.0
