#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         0                           1611560                     1131743                     
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           1225139                     N/A                         
GPU 3     0.000        N/A          0                 0                 0.000        0                           N/A                         N/A                         724620                      
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     0.000        0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.000        0                 0                 N/A          N/A                         N/A                         N/A                         745510                      
GPU 3     N/A          0.000        0                 0                 N/A          N/A                         0                           1204225                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         1319137                     735171                      
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         0                           1355985                     870960                      
GPU 0     0.000        N/A          0                 0                 0.000        0                           0                           1225309                     N/A                         
GPU 3     0.000        N/A          0                 0                 0.000        0                           N/A                         N/A                         724767                      
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     0.000        0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.000        0                 0                 N/A          N/A                         N/A                         N/A                         745613                      
GPU 3     N/A          0.000        0                 0                 N/A          N/A                         0                           1199255                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         1464914                     985298                      
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         0                           1433895                     954192                      
GPU 0     0.000        N/A          0                 0                 0.000        0                           0                           1183683                     N/A                         
GPU 3     0.000        N/A          0                 0                 0.000        0                           N/A                         N/A                         719703                      
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     0.000        0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.000        0                 0                 N/A          N/A                         N/A                         N/A                         703952                      
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         0                           N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           N/A                         1214885                     729973                      
GPU 1     N/A          0.000        0                 0                 0.000        0                           0                           1986307                     1475393                     
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1783217                     1256594                     
GPU 3     0.000        0.000        0                 0                 0.000        0                           N/A                         844875                      724923                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         0                           N/A                         N/A                         
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         0                           N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           N/A                         1747130                     1236029                     
GPU 1     N/A          0.000        0                 0                 0.000        0                           0                           1350463                     870762                      
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1121077                     646574                      
GPU 3     0.000        0.000        0                 0                 0.000        0                           N/A                         1704997                     1329585                     
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         0                           N/A                         N/A                         
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         0                           N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           N/A                         1209942                     724922                      
GPU 1     N/A          0.000        0                 0                 0.000        0                           0                           1376609                     792593                      
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1527933                     943876                      
GPU 3     0.000        0.000        0                 0                 0.000        0                           N/A                         1199087                     719452                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         0                           N/A                         N/A                         
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
