,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
5119,GPU 1,0.457,0.217,100,10,0.08,0.0,,,108918442.0
5123,GPU 1,0.477,,100,10,,,,53047542.0,
5127,GPU 1,0.477,0.243,100,10,0.082,0.0,,,119403831.0
5131,GPU 1,0.468,,100,11,,,,42540876.0,
5135,GPU 1,0.468,0.235,100,11,0.08,0.0,,,107991981.0
5139,GPU 1,0.519,,100,11,,,2645518926.0,49912307.0,122981634.0
5143,GPU 1,0.519,0.254,100,19,0.104,83317.0,,,
5147,GPU 1,0.634,,100,19,,,8464479717.0,62492792.0,126589432.0
5151,GPU 1,0.634,0.346,100,19,0.179,8464469302.0,,,
5155,GPU 1,0.724,,100,19,,,0.0,64259656.0,142663309.0
5159,GPU 1,0.724,0.365,100,22,0.168,0.0,,,
5163,GPU 1,0.73,,100,22,,,0.0,73554209.0,158877092.0
5169,GPU 1,0.73,0.395,100,22,0.176,0.0,,,
5173,GPU 1,0.731,,100,22,,,0.0,79467029.0,160443355.0
5177,GPU 1,0.731,0.394,100,22,0.171,0.0,,,
5181,GPU 1,0.748,,100,22,,,0.0,63418563.0,142085277.0
5185,GPU 1,0.748,0.389,100,22,0.176,0.0,,,
5189,GPU 1,0.718,,100,22,,,682591157.0,57783070.0,135521504.0
5193,GPU 1,0.718,0.364,100,16,0.17,511929047.0,,,
5197,GPU 1,0.455,,100,16,,,1952679347.0,22376895.0,43976814.0
5201,GPU 1,0.455,0.182,100,16,0.074,2631631639.0,,,
5205,GPU 1,0.481,,100,16,,,0.0,31092108.0,56144892.0
5209,GPU 1,0.481,0.193,100,10,0.083,0.0,,,
5213,GPU 1,0.486,,100,10,,,0.0,26870246.0,48639206.0
5217,GPU 1,0.482,0.198,100,10,0.079,0.0,0.0,31569133.0,48639206.0
5221,GPU 1,0.482,0.196,100,10,0.079,0.0,0.0,,54152724.0
5227,GPU 1,0.479,,100,10,,,,30066465.0,
5231,GPU 1,0.479,0.189,100,10,0.077,0.0,0.0,,50785977.0
5235,GPU 1,0.479,0.189,100,10,0.077,0.0,0.0,,50785977.0
5239,GPU 1,0.471,0.192,100,10,0.079,0.0,0.0,32847836.0,56792550.0
5243,GPU 1,0.396,0.142,100,7,0.04,2645279149.0,83309.0,150754606.0,2277147991.0
5247,GPU 1,0.396,,100,7,,,,,
5251,GPU 1,0.396,,100,7,,,,,
5255,GPU 1,0.244,0.07,100,7,0.001,5210.0,0.0,20262641.0,39264404.0
5259,GPU 1,0.244,,100,0,,,,,
5263,GPU 1,0.243,0.069,100,0,0.001,0.0,0.0,19464877.0,38194738.0
5267,GPU 1,0.243,,100,0,,,,,
5271,GPU 1,0.352,0.127,100,0,0.043,81614.0,3260022191.0,21765446.0,44984643.0
5275,GPU 1,0.352,,100,8,,,,,
5279,GPU 1,0.428,0.173,100,8,0.07,0.0,0.0,26195472.0,49881260.0
5285,GPU 1,0.428,,100,8,,,,,
5289,GPU 1,0.421,0.164,100,8,0.068,2645619739.0,1963062427.0,25880677.0,52490388.0
5293,GPU 1,0.421,,100,9,,,,,
5297,GPU 1,0.457,0.184,100,9,0.077,0.0,0.0,24842127.0,49304310.0
5301,GPU 1,0.457,,100,9,,,,,
5305,GPU 1,0.408,0.156,100,9,0.057,682569245.0,0.0,21938740.0,45236609.0
5309,GPU 1,0.408,,100,3,,,,,
5313,GPU 1,0.243,0.069,100,3,0.001,1963231798.0,88537.0,16816927.0,36388936.0
5317,GPU 1,0.243,,100,3,,,,,
5321,GPU 1,0.242,0.069,100,3,0.0,0.0,0.0,16691484.0,36109278.0
5325,GPU 1,0.242,,100,0,,,,,
5329,GPU 1,0.244,,100,0,0.0,0.0,,16459909.0,
5333,GPU 1,0.244,,100,0,,,0.0,,
5337,GPU 1,0.244,,100,0,,,0.0,,
5343,GPU 1,0.242,0.069,100,0,0.0,0.0,0.0,17455343.0,36870438.0
5347,GPU 1,0.242,,100,0,,,,,
5351,GPU 1,0.244,0.069,100,0,0.0,0.0,0.0,20112476.0,39025920.0
