#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1199023                     719413                      
GPU 0     0.755        0.421        92                23                0.169        0                           0                           15583462                    115735331                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1162754                     677839                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          92                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1199267                     719560                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1188837                     709131                      
GPU 0     0.752        0.424        92                23                0.196        0                           0                           18100611                    153805743                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1157339                     677721                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          92                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1204508                     724791                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1199528                     751009                      
GPU 0     0.744        0.413        92                23                0.168        0                           0                           16595769                    117263237                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1590293                     1089742                     
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          92                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          0.000        0                 0                 0.000        0                           0                           1590293                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         N/A                         N/A                         
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         N/A                         3473468                     N/A                         
GPU 0     0.764        N/A          92                22                N/A          N/A                         0                           18455735                    N/A                         
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         3921826                     
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         997524                      
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         2790248                     
GPU 0     N/A          0.433        92                22                0.171        0                           N/A                         N/A                         116608822                   
GPU 3     N/A          0.000        0                 0                 0.000        0                           0                           4511143                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         2648075                     N/A                         
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           6199576                     N/A                         
GPU 0     0.752        N/A          92                22                N/A          N/A                         0                           24486169                    N/A                         
GPU 3     0.000        N/A          0                 0                 N/A          0                           N/A                         N/A                         6477443                     
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.424        91                23                0.197        0                           N/A                         N/A                         171257498                   
GPU 3     N/A          0.000        0                 0                 0.000        N/A                         0                           7499648                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         5860650                     4833472                     
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           1475387                     1011396                     
GPU 0     0.744        N/A          91                23                N/A          N/A                         0                           16979469                    N/A                         
GPU 3     0.000        N/A          0                 0                 0.000        0                           N/A                         N/A                         1793649                     
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.406        91                23                N/A          N/A                         N/A                         N/A                         118928914                   
GPU 3     N/A          0.000        0                 0                 N/A          N/A                         0                           2278560                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         1773215                     1183882                     
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           2570545                     2033494                     
GPU 0     0.772        N/A          91                23                0.173        0                           0                           16427812                    N/A                         
