,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
12,GPU 0,0.764,0.413,93,22,0.172,511656646.0,0.0,14547381.0,110195763.0
16,GPU 0,0.764,,93,22,,,,,
20,GPU 0,0.746,0.426,93,22,0.188,7869262316.0,8375886382.0,14056716.0,102921136.0
24,GPU 0,0.746,,93,23,,,,,
28,GPU 0,0.777,0.432,93,23,0.172,0.0,0.0,14951617.0,110653421.0
32,GPU 0,0.777,,93,23,,,,,
36,GPU 0,0.775,0.418,93,23,0.172,0.0,0.0,15366104.0,113418719.0
40,GPU 0,0.775,,93,22,,,,,
44,GPU 0,0.67,0.368,93,22,0.168,8435764562.0,8435816458.0,12434346.0,89578150.0
48,GPU 0,0.67,,93,22,,,,,
52,GPU 0,0.797,0.454,93,22,0.175,0.0,0.0,14983969.0,109577108.0
56,GPU 0,0.797,,94,22,,,,,
60,GPU 0,0.774,0.417,94,22,0.17,0.0,0.0,15536757.0,114165012.0
66,GPU 0,0.774,,94,22,,,,,
70,GPU 0,0.726,0.405,94,22,0.19,8427044673.0,8427122437.0,14116781.0,102223540.0
74,GPU 0,0.726,,90,23,,,,,
78,GPU 0,0.766,0.435,90,23,0.168,0.0,0.0,14331703.0,106323777.0
82,GPU 0,0.771,0.435,90,23,0.168,0.0,0.0,18039295.0,106323777.0
86,GPU 0,0.771,0.42,90,23,0.17,0.0,,,115183971.0
90,GPU 0,0.724,,90,23,,,8461302182.0,20092516.0,
94,GPU 0,0.724,0.401,93,23,0.187,8461250129.0,,,106479925.0
98,GPU 0,0.773,,93,23,,,0.0,14851809.0,
102,GPU 0,0.773,0.433,93,23,0.17,0.0,,,109031103.0
106,GPU 0,0.76,,93,22,,,0.0,15681008.0,
110,GPU 0,0.76,0.418,93,22,0.167,0.0,,,110511298.0
114,GPU 0,0.725,,93,22,,,8464249321.0,14100894.0,
118,GPU 0,0.725,0.405,93,22,0.191,8464176421.0,,,103345809.0
124,GPU 0,0.755,,91,23,,,0.0,15968582.0,
128,GPU 0,0.755,0.416,91,23,0.165,0.0,0.0,15968582.0,109145548.0
132,GPU 0,0.755,0.416,91,23,0.165,0.0,0.0,15968582.0,109145548.0
136,GPU 0,0.767,0.431,91,23,0.169,0.0,0.0,15899057.0,109434871.0
140,GPU 0,0.767,,92,23,,,,,
