#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          93                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          93                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           3024340                     2242183                     
GPU 2     0.741        0.411        93                22                0.180        0                           0                           16326822                    121402440                   
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           849906                      359776                      
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          93                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1188816                     703904                      
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1199242                     719545                      
GPU 2     0.762        0.438        92                24                0.185        0                           0                           18439783                    158493711                   
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1204324                     724680                      
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          92                24                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1183323                     708951                      
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1204471                     719554                      
GPU 2     N/A          0.419        92                24                0.170        0                           0                           15711243                    116730685                   
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1261845                     782135                      
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.755        N/A          92                24                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1553814                     975044                      
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1215058                     745722                      
GPU 2     N/A          N/A          92                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1168024                     698728                      
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
