#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 3     N/A          N/A          93                24                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          93                24                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     0.762        0.434        94                22                0.171        0                           0                           14573517                    113554808                   
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          94                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1199340                     719604                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           860542                      370293                      
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           844709                      354569                      
GPU 3     0.760        0.419        94                22                0.171        0                           0                           16667440                    119033821                   
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          94                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1767517                     1183559                     
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1225342                     745633                      
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1199394                     714421                      
GPU 3     0.762        0.429        93                22                0.199        0                           0                           20583829                    175100473                   
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          93                24                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1162789                     766502                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1199097                     729885                      
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1212758                     741129                      
GPU 3     0.756        0.427        93                24                0.171        0                           0                           17438841                    118057944                   
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          93                24                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1241077                     761332                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1194046                     724770                      
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1574139                     1016414                     
GPU 3     0.760        0.423        93                24                0.170        0                           0                           16367034                    117307490                   
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          93                24                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1824922                     1303516                     
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1206268                     727920                      
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1194011                     714320                      
GPU 3     0.761        0.429        93                24                0.200        0                           0                           19613627                    159204562                   
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          93                24                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1235402                     761049                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           2205452                     1590219                     
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1799200                     1288123                     
GPU 3     0.754        0.423        92                24                0.171        0                           0                           16083140                    117093994                   
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 3     N/A          N/A          92                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1167971                     683054                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1168010                     688291                      
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1196761                     718056                      
GPU 3     0.769        0.432        92                22                0.172        0                           0                           16269824                    116580453                   
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           4203254                     3546170                     
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          92                22                N/A          N/A                         0                           N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         0                           N/A                         N/A                         
