#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           2966262                     2366753                     
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           2592107                     1961030                     
GPU 1     0.786        0.449        92                22                0.177        0                           0                           15863447                    114756191                   
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1079185                     656895                      
GPU 3     0.000        0.000        0                 0                 N/A          N/A                         0                           2966262                     2366753                     
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           2592107                     N/A                         
GPU 1     0.786        0.449        92                22                0.177        0                           0                           15863447                    N/A                         
GPU 0     0.000        0.000        0                 0                 N/A          N/A                         0                           1079185                     656895                      
GPU 3     N/A          N/A          0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         3915681                     3316076                     
GPU 1     N/A          N/A          92                24                N/A          N/A                         N/A                         N/A                         158527594                   
GPU 0     N/A          N/A          0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 3     0.000        0.000        0                 0                 N/A          N/A                         0                           2664348                     2028241                     
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     0.733        0.414        92                24                0.191        0                           0                           22310868                    N/A                         
GPU 0     0.000        0.000        0                 0                 N/A          N/A                         0                           9155941                     7967129                     
GPU 3     N/A          N/A          0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         1652536                     1178149                     
GPU 1     N/A          N/A          92                24                N/A          N/A                         N/A                         N/A                         124037108                   
GPU 0     N/A          N/A          0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 3     0.000        0.000        0                 0                 N/A          N/A                         0                           2617076                     2132239                     
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     0.768        0.417        92                24                0.172        0                           N/A                         20471790                    N/A                         
GPU 0     0.000        0.000        0                 0                 N/A          N/A                         0                           8123934                     7211425                     
GPU 3     N/A          N/A          0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         12722278                    11001642                    
GPU 1     N/A          N/A          92                24                N/A          N/A                         0                           N/A                         123211625                   
GPU 0     N/A          N/A          0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 3     0.000        0.000        0                 0                 N/A          N/A                         0                           7127434                     6006440                     
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     0.755        0.431        93                24                0.172        0                           N/A                         26610133                    N/A                         
GPU 0     0.000        0.000        0                 0                 N/A          N/A                         0                           6319478                     5307945                     
GPU 3     N/A          N/A          0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         2763649                     2257849                     
GPU 1     N/A          N/A          93                24                N/A          N/A                         0                           N/A                         165318065                   
GPU 0     N/A          N/A          0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         0                           N/A                         6450149                     
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         0                           N/A                         N/A                         
GPU 1     0.740        N/A          93                24                N/A          N/A                         N/A                         19041925                    N/A                         
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           2158670                     N/A                         
GPU 3     N/A          0.000        0                 0                 0.000        0                           N/A                         1204419                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           N/A                         2157554                     1702524                     
GPU 1     N/A          0.418        93                22                0.171        0                           0                           N/A                         118642783                   
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         724843                      
#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         0                           N/A                         735165                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         0                           N/A                         N/A                         
GPU 1     0.772        N/A          93                22                N/A          N/A                         N/A                         15829795                    N/A                         
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           1199381                     N/A                         
GPU 3     N/A          0.000        0                 0                 0.000        0                           N/A                         1147113                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           N/A                         2195177                     1621615                     
GPU 1     N/A          0.421        93                22                0.170        0                           0                           N/A                         115918385                   
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         724764                      
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         0                           N/A                         677839                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         0                           N/A                         N/A                         
GPU 1     0.749        N/A          93                22                N/A          N/A                         N/A                         15566004                    N/A                         
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           1194035                     N/A                         
GPU 3     N/A          0.000        0                 0                 0.000        0                           N/A                         1522692                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           N/A                         2476987                     1992019                     
GPU 1     N/A          0.438        93                24                0.197        0                           0                           N/A                         151457143                   
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         755844                      
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         1022080                     
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     0.753        N/A          93                24                N/A          N/A                         N/A                         17976197                    N/A                         
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           1219776                     N/A                         
GPU 3     N/A          0.000        0                 0                 0.000        0                           0                           1194033                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           2054365                     1579879                     
GPU 1     N/A          0.415        93                24                0.170        0                           0                           N/A                         117729241                   
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         1319172                     
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         719548                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     0.764        N/A          93                24                N/A          N/A                         N/A                         15849767                    N/A                         
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           1903153                     N/A                         
GPU 3     N/A          0.000        0                 0                 0.000        0                           0                           1198926                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           2330125                     1850547                     
GPU 1     N/A          0.402        93                24                0.167        0                           0                           N/A                         115297646                   
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         756170                      
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         719355                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     0.726        N/A          91                24                N/A          N/A                         N/A                         15297080                    N/A                         
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           1241163                     N/A                         
GPU 3     N/A          0.000        0                 0                 0.000        0                           0                           1199247                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           2007444                     1527743                     
GPU 1     N/A          0.444        91                24                0.199        0                           0                           N/A                         159254539                   
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         756020                      
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         719548                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     0.763        N/A          91                24                N/A          N/A                         N/A                         18582386                    N/A                         
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           1235703                     N/A                         
GPU 3     N/A          0.000        0                 0                 0.000        0                           0                           1574899                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           2195527                     1715744                     
GPU 1     N/A          0.418        91                22                0.168        0                           0                           N/A                         114275759                   
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         761247                      
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         990830                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     0.759        N/A          92                22                N/A          N/A                         N/A                         15318689                    N/A                         
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           1235723                     N/A                         
GPU 3     N/A          0.000        0                 0                 0.000        0                           0                           1684123                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           3602681                     2862333                     
GPU 1     N/A          0.417        92                22                0.174        0                           0                           N/A                         122866123                   
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         756066                      
#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         1167937                     
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     0.764        N/A          92                22                N/A          N/A                         N/A                         16380761                    N/A                         
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           1240992                     N/A                         
GPU 3     N/A          0.000        0                 0                 0.000        0                           N/A                         1194055                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           N/A                         2581031                     2070039                     
GPU 1     N/A          0.413        92                23                0.188        0                           0                           N/A                         148720349                   
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         1188862                     
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         0                           N/A                         714347                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         0                           N/A                         N/A                         
GPU 1     0.712        N/A          91                23                N/A          N/A                         N/A                         17904459                    N/A                         
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1705078                     750816                      
GPU 3     N/A          0.000        0                 0                 0.000        0                           N/A                         2706155                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           N/A                         3597886                     2972167                     
GPU 1     N/A          0.424        91                23                0.322        0                           0                           N/A                         220974139                   
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           1230505                     N/A                         
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         0                           N/A                         2127382                     
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         0                           N/A                         N/A                         
GPU 1     N/A          N/A          91                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         2804693                     
GPU 3     N/A          0.000        0                 0                 0.000        0                           N/A                         1585168                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           N/A                         2263055                     1814615                     
GPU 1     0.720        0.414        92                24                0.194        0                           0                           24826441                    168166366                   
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           3461555                     N/A                         
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         0                           N/A                         1105446                     
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         0                           N/A                         N/A                         
GPU 1     N/A          N/A          92                24                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         5250581                     
GPU 3     N/A          0.000        0                 0                 0.000        0                           N/A                         6381962                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           N/A                         7247462                     6147308                     
GPU 1     0.790        0.450        92                24                0.174        0                           0                           16183947                    112590764                   
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           6241257                     N/A                         
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         0                           N/A                         5375656                     
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         0                           N/A                         N/A                         
GPU 1     N/A          N/A          92                24                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         980408                      
GPU 3     N/A          0.000        0                 0                 0.000        0                           N/A                         1501364                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           N/A                         2100930                     1626526                     
