global_step,eval_loss,eval_accuracy
5,1.515424370765686,0.39287551440329216
10,1.139218807220459,0.3429783950617284
15,1.0999715328216553,0.4063786008230453
20,1.0692590475082397,0.4474022633744856
25,1.1301007270812988,0.4255401234567901
30,1.1371630430221558,0.439429012345679
35,1.1484495401382446,0.45113168724279834
40,1.0992858409881592,0.45164609053497945
45,1.0661596059799194,0.4461162551440329
50,1.0605006217956543,0.45627572016460904
55,1.0621947050094604,0.45460390946502055
60,1.0526378154754639,0.47003600823045266
65,1.052498459815979,0.4758230452674897
70,1.0471705198287964,0.47260802469135804
75,1.0503484010696411,0.4723508230452675
80,1.0571447610855103,0.47093621399176955
85,1.013413906097412,0.5146604938271605
90,1.0242995023727417,0.525977366255144
95,0.9732620716094971,0.6013374485596708
100,0.9901993274688721,0.623070987654321
105,0.9423377513885498,0.6580504115226338
110,0.9634379148483276,0.602880658436214
115,0.9766954779624939,0.589891975308642
120,0.9908543229103088,0.5857767489711934
125,0.9693725109100342,0.61059670781893
130,0.9838168025016785,0.6039094650205762
135,0.9794607758522034,0.6147119341563786
140,0.9678645133972168,0.6226851851851852
145,0.9657073616981506,0.6193415637860082
150,0.9729124903678894,0.6032664609053497
155,0.9710150361061096,0.6058384773662552
160,0.9658031463623047,0.6135545267489712
165,0.9537157416343689,0.6297582304526749
170,0.8896979093551636,0.7371399176954733
175,0.8800143003463745,0.739454732510288
180,0.8734248876571655,0.758616255144033
185,0.858553409576416,0.7703189300411523
190,0.8551729917526245,0.7790637860082305
195,0.8605188727378845,0.7761059670781894
200,0.8551924824714661,0.7830504115226338
205,0.8461273312568665,0.7907664609053497
210,0.8413676023483276,0.79565329218107
215,0.8400037288665771,0.8005401234567902
220,0.8386691212654114,0.8016975308641975
225,0.8374959230422974,0.8020833333333334
230,0.8368722796440125,0.801440329218107
235,0.8383423686027527,0.7974537037037037
240,0.8400452733039856,0.7965534979423868
245,0.8405026197433472,0.7946244855967078
